Bird,Cluster
Greater White-fronted Goose,0
Marsh Wren,0
Carolina Wren,0
Bewick's Wren,0
Golden-crowned Kinglet,0
Ruby-crowned Kinglet,0
Eastern Bluebird,0
bluebird sp.,0
Townsend's Solitaire,0
Hermit Thrush,0
Sedge Wren,0
Wood Thrush,0
Gray Catbird,0
Brown Thrasher,0
Sage Thrasher,0
Northern Mockingbird,0
American Pipit,0
Bohemian Waxwing,0
Lapland Longspur,0
longspur sp.,0
Snow Bunting,0
Varied Thrush,0
Ovenbird,0
Pacific/Winter Wren,0
Brown Creeper,0
Red-headed Woodpecker,0
Red-bellied Woodpecker,0
Yellow-bellied Sapsucker,0
Hairy Woodpecker,0
Northern Flicker,0
Pileated Woodpecker,0
American Kestrel,0
Merlin,0
Peregrine Falcon,0
Winter Wren,0
Eastern Phoebe,0
White-eyed Vireo,0
crow sp.,0
Horned Lark,0
Horned Lark (Eastern dark Group),0
Barn Swallow,0
Boreal Chickadee,0
chickadee sp.,0
Tufted Titmouse,0
Red-breasted Nuthatch,0
Northern Shrike,0
kingfisher sp.,0
Northern Waterthrush,0
Common Yellowthroat,0
Eastern Meadowlark,0
Western/Eastern Meadowlark,0
Rusty Blackbird,0
Brewer's Blackbird,0
Common Grackle,0
Common Grackle (Purple),0
Brown-headed Cowbird,0
Baltimore Oriole,0
blackbird sp.,0
Western Meadowlark,0
Pine Grosbeak,0
Red Crossbill,0
White-winged Crossbill,0
Common Redpoll,0
Hoary Redpoll,0
redpoll sp.,0
Pine Siskin,0
Spinus sp. (goldfinch sp.),0
Evening Grosbeak,0
finch sp.,0
Purple Finch,0
Orange-crowned Warbler,0
Rose-breasted Grosbeak,0
Spotted/Eastern Towhee (Rufous-sided Towhee),0
yellowthroat sp.,0
Pine Warbler,0
Yellow-rumped Warbler,0
Yellow-rumped Warbler (Myrtle),0
Chipping Sparrow,0
Field Sparrow,0
Black-throated Sparrow,0
Fox Sparrow,0
Dark-eyed Junco (Slate-colored/Cassiar),0
sparrow sp.,0
Dark-eyed Junco (Oregon),0
Harris's Sparrow,0
White-throated Sparrow,0
Vesper Sparrow,0
Savannah Sparrow,0
Song Sparrow,0
Lincoln's Sparrow,0
Swamp Sparrow,0
Spotted Towhee,0
Eastern Towhee,0
White-crowned Sparrow,0
Belted Kingfisher,0
Northern Flicker (Yellow-shafted),0
Short-eared Owl,0
Red-breasted Merganser,0
Ruddy Duck,0
duck sp.,0
Northern Bobwhite,0
Ring-necked Pheasant,0
Gray Partridge,0
Ruffed Grouse,0
Greater/Lesser Prairie-Chicken,0
Wild Turkey,0
Red-throated Loon,0
Common Loon,0
loon sp.,0
Pied-billed Grebe,0
Northern Saw-whet Owl,0
Red-necked Grebe,0
Western Grebe,0
Double-crested Cormorant,0
American Bittern,0
Great Blue Heron (Blue form),0
Hooded Merganser,0
Black-crowned Night-Heron,0
Common/Barrow's Goldeneye,0
Long-tailed Duck,0
Snow Goose,0
Ross's Goose,0
Cackling Goose,0
Mute Swan,0
Trumpeter Swan,0
Wood Duck,0
American Wigeon,0
Blue-winged Teal,0
Northern Pintail,0
Green-winged Teal,0
Green-winged Teal (American),0
Redhead,0
Ring-necked Duck,0
Greater Scaup,0
Lesser Scaup,0
Harlequin Duck,0
Surf Scoter,0
White-winged Scoter,0
Black Scoter,0
Barrow's Goldeneye,0
Northern Harrier,0
Horned Grebe,0
Cooper's Hawk,0
American Woodcock,0
Black-legged Kittiwake,0
Bonaparte's Gull,0
Sharp-shinned Hawk,0
Thayer's Gull,0
Iceland Gull,0
Lesser Black-backed Gull,0
Wilson's/Common Snipe,0
Glaucous Gull,0
gull sp.,0
Eastern Screech-Owl,0
screech-owl sp.,0
Great Horned Owl,0
Snowy Owl,0
Barred Owl,0
Long-eared Owl,0
Great Black-backed Gull,0
Wilson's Snipe,0
bird sp.,0
Red-shouldered Hawk,0
Accipiter sp.,0
Killdeer,0
Broad-winged Hawk,0
Red-tailed Hawk,0
Rough-legged Hawk,0
Buteo sp.,0
Bald Eagle,0
King Rail,0
Northern Goshawk,0
Sora,0
Northern Goshawk (American),0
Virginia Rail,0
Mallard,1
Canada Goose,2
American Tree Sparrow,3
American Coot,4
European Starling,5
House Finch,6
Gadwall,6
American Goldfinch,6
American Robin,6
Cedar Waxwing,6
Downy Woodpecker,6
American Black Duck,6
Northern Shoveler,6
Sandhill Crane,6
Rock Pigeon (Feral Pigeon),6
Canvasback,6
Blue Jay,6
Northern Cardinal,6
Dark-eyed Junco,6
White-breasted Nuthatch,6
Mourning Dove,6
Bufflehead,6
Common Goldeneye,6
Black-capped Chickadee,6
Dark-eyed Junco (Slate-colored),6
Red-winged Blackbird,7
House Sparrow,8
Ring-billed Gull,9
Herring Gull,10
Common Merganser,11
Tundra Swan,12
American Crow,13
