Bird,Cluster
"Northern Saw-whet Owl (<em class=""sci"">Aegolius acadicus</em>)",0
"owl sp. (<em class=""sci"">Strigiformes sp.</em>)",0
"Red-headed Woodpecker (<em class=""sci"">Melanerpes erythrocephalus</em>)",0
"Downy/Hairy Woodpecker (<em class=""sci"">Dryobates pubescens/villosus</em>)",0
"Pileated Woodpecker (<em class=""sci"">Dryocopus pileatus</em>)",0
"woodpecker sp. (<em class=""sci"">Picidae sp.</em>)",0
"Merlin (<em class=""sci"">Falco columbarius</em>)",0
"Peregrine Falcon (<em class=""sci"">Falco peregrinus</em>)",0
"small falcon sp. (<em class=""sci"">Falco sp. (small falcon sp.)</em>)",0
"falcon sp. (<em class=""sci"">Falco sp.</em>)",0
"diurnal raptor sp. (<em class=""sci"">Accipitriformes/Falconiformes sp.</em>)",0
"Olive-sided Flycatcher (<em class=""sci"">Contopus cooperi</em>)",0
"pewee sp. (Contopus sp.) (<em class=""sci"">Contopus sp.</em>)",0
"passerine sp. (<em class=""sci"">Passeriformes sp.</em>)",0
"Yellow-bellied Flycatcher (<em class=""sci"">Empidonax flaviventris</em>)",0
"Alder/Willow Flycatcher (Traill's Flycatcher) (<em class=""sci"">Empidonax alnorum/traillii</em>)",0
"new world flycatcher sp. (<em class=""sci"">Tyrannidae sp.</em>)",0
"Bell's Vireo (<em class=""sci"">Vireo bellii</em>)",0
"Yellow-throated Vireo (<em class=""sci"">Vireo flavifrons</em>)",0
"Blue-headed Vireo (<em class=""sci"">Vireo solitarius</em>)",0
"Philadelphia Vireo (<em class=""sci"">Vireo philadelphicus</em>)",0
"Philadelphia/Warbling Vireo (<em class=""sci"">Vireo philadelphicus/gilvus</em>)",0
"vireo sp. (<em class=""sci"">Vireo sp.</em>)",0
"Loggerhead/Northern Shrike (<em class=""sci"">Lanius ludovicianus/borealis</em>)",0
"Tufted Titmouse (<em class=""sci"">Baeolophus bicolor</em>)",0
"Horned Lark (<em class=""sci"">Eremophila alpestris</em>)",0
"Red-breasted Nuthatch (<em class=""sci"">Sitta canadensis</em>)",0
"Alder Flycatcher (<em class=""sci"">Empidonax alnorum</em>)",0
"Short-eared Owl (<em class=""sci"">Asio flammeus</em>)",0
"Barred Owl (<em class=""sci"">Strix varia</em>)",0
"Eastern Screech-Owl (<em class=""sci"">Megascops asio</em>)",0
"Forster's/Common Tern (<em class=""sci"">Sterna forsteri/hirundo</em>)",0
"Sterna sp. (<em class=""sci"">Sterna sp.</em>)",0
"tern sp. (<em class=""sci"">Sterninae sp.</em>)",0
