"bird_name","year","how_many","number_by_party_hours"
"Greater White-fronted Goose","1911",,
"Greater White-fronted Goose","1913",,
"Greater White-fronted Goose","1918",,
"Greater White-fronted Goose","1919",,
"Greater White-fronted Goose","1920",,
"Greater White-fronted Goose","1922",,
"Greater White-fronted Goose","1929",,
"Greater White-fronted Goose","1930",,
"Greater White-fronted Goose","1936",,
"Greater White-fronted Goose","1937",,
"Greater White-fronted Goose","1938",,
"Greater White-fronted Goose","1939",,
"Greater White-fronted Goose","1940",,
"Greater White-fronted Goose","1941",,
"Greater White-fronted Goose","1942",,
"Greater White-fronted Goose","1943",,
"Greater White-fronted Goose","1946",,
"Greater White-fronted Goose","1950",,
"Greater White-fronted Goose","1951",,
"Greater White-fronted Goose","1952",,
"Greater White-fronted Goose","1953",,
"Greater White-fronted Goose","1954",,
"Greater White-fronted Goose","1955",,
"Greater White-fronted Goose","1956",,
"Greater White-fronted Goose","1957",,
"Greater White-fronted Goose","1958",,
"Greater White-fronted Goose","1959",,
"Greater White-fronted Goose","1960",,
"Greater White-fronted Goose","1961",,
"Greater White-fronted Goose","1962",,
"Greater White-fronted Goose","1963",,
"Greater White-fronted Goose","1964",,
"Greater White-fronted Goose","1965",,
"Greater White-fronted Goose","1966",,
"Greater White-fronted Goose","1967",,
"Greater White-fronted Goose","1968",,
"Greater White-fronted Goose","1969",,
"Greater White-fronted Goose","1970",,
"Greater White-fronted Goose","1971",,
"Greater White-fronted Goose","1972",,
"Greater White-fronted Goose","1973",,
"Greater White-fronted Goose","1974",,
"Greater White-fronted Goose","1975",,
"Greater White-fronted Goose","1976",,
"Greater White-fronted Goose","1977",,
"Greater White-fronted Goose","1978",,
"Greater White-fronted Goose","1979",,
"Greater White-fronted Goose","1980",,
"Greater White-fronted Goose","1981",,
"Greater White-fronted Goose","1982",,
"Greater White-fronted Goose","1983",,
"Greater White-fronted Goose","1984",,
"Greater White-fronted Goose","1985",,
"Greater White-fronted Goose","1986",,
"Greater White-fronted Goose","1987",,
"Greater White-fronted Goose","1988",,
"Greater White-fronted Goose","1989",,
"Greater White-fronted Goose","1990",,
"Greater White-fronted Goose","1991",,
"Greater White-fronted Goose","1992",,
