"bird_name"	"Greater White-fronted Goose"	"Snow Goose"	"Ross's Goose"	"Cackling Goose"	"Canada Goose"	"Mute Swan"	"Trumpeter Swan"	"Tundra Swan"	"Wood Duck"	"Gadwall"	"American Wigeon"	"American Black Duck"	"Mallard"	"Blue-winged Teal"	"Northern Shoveler"	"Northern Pintail"	"Green-winged Teal"	"Green-winged Teal (American)"	"Canvasback"	"Redhead"	"Ring-necked Duck"	"Greater Scaup"	"Lesser Scaup"	"Harlequin Duck"	"Surf Scoter"	"White-winged Scoter"	"Black Scoter"	"Long-tailed Duck"	"Bufflehead"	"Common Goldeneye"	"Barrow's Goldeneye"	"Common/Barrow's Goldeneye"	"Hooded Merganser"	"Common Merganser"	"Red-breasted Merganser"	"Ruddy Duck"	"duck sp."	"Northern Bobwhite"	"Ring-necked Pheasant"	"Gray Partridge"	"Ruffed Grouse"	"Greater/Lesser Prairie-Chicken"	"Wild Turkey"	"Red-throated Loon"	"Common Loon"	"loon sp."	"Pied-billed Grebe"	"Horned Grebe"	"Red-necked Grebe"	"Western Grebe"	"Double-crested Cormorant"	"American Bittern"	"Great Blue Heron (Blue form)"	"Black-crowned Night-Heron"	"Northern Harrier"	"Sharp-shinned Hawk"	"Cooper's Hawk"	"Northern Goshawk"	"Northern Goshawk (American)"	"Accipiter sp."	"Bald Eagle"	"Red-shouldered Hawk"	"Broad-winged Hawk"	"Red-tailed Hawk"	"Rough-legged Hawk"	"Buteo sp."	"King Rail"	"Virginia Rail"	"Sora"	"American Coot"	"Sandhill Crane"	"Killdeer"	"Wilson's Snipe"	"Wilson's/Common Snipe"	"American Woodcock"	"Black-legged Kittiwake"	"Bonaparte's Gull"	"Ring-billed Gull"	"Herring Gull"	"Thayer's Gull"	"Iceland Gull"	"Lesser Black-backed Gull"	"Glaucous Gull"	"Great Black-backed Gull"	"gull sp."	"Rock Pigeon (Feral Pigeon)"	"Mourning Dove"	"Eastern Screech-Owl"	"screech-owl sp."	"Great Horned Owl"	"Snowy Owl"	"Barred Owl"	"Long-eared Owl"	"Short-eared Owl"	"Northern Saw-whet Owl"	"Belted Kingfisher"	"kingfisher sp."	"Red-headed Woodpecker"	"Red-bellied Woodpecker"	"Yellow-bellied Sapsucker"	"Downy Woodpecker"	"Hairy Woodpecker"	"Northern Flicker"	"Northern Flicker (Yellow-shafted)"	"Pileated Woodpecker"	"American Kestrel"	"Merlin"	"Peregrine Falcon"	"Eastern Phoebe"	"Northern Shrike"	"White-eyed Vireo"	"Blue Jay"	"American Crow"	"crow sp."	"Horned Lark"	"Horned Lark (Eastern dark Group)"	"Barn Swallow"	"Black-capped Chickadee"	"Boreal Chickadee"	"chickadee sp."	"Tufted Titmouse"	"Red-breasted Nuthatch"	"White-breasted Nuthatch"	"Brown Creeper"	"Winter Wren"	"Pacific/Winter Wren"	"Sedge Wren"	"Marsh Wren"	"Carolina Wren"	"Bewick's Wren"	"Golden-crowned Kinglet"	"Ruby-crowned Kinglet"	"Eastern Bluebird"	"bluebird sp."	"Townsend's Solitaire"	"Hermit Thrush"	"Wood Thrush"	"American Robin"	"Varied Thrush"	"Gray Catbird"	"Brown Thrasher"	"Sage Thrasher"	"Northern Mockingbird"	"European Starling"	"American Pipit"	"Bohemian Waxwing"	"Cedar Waxwing"	"Lapland Longspur"	"longspur sp."	"Snow Bunting"	"Ovenbird"	"Northern Waterthrush"	"Orange-crowned Warbler"	"Common Yellowthroat"	"yellowthroat sp."	"Pine Warbler"	"Yellow-rumped Warbler"	"Yellow-rumped Warbler (Myrtle)"	"American Tree Sparrow"	"Chipping Sparrow"	"Field Sparrow"	"Black-throated Sparrow"	"Fox Sparrow"	"Dark-eyed Junco"	"Dark-eyed Junco (Slate-colored/Cassiar)"	"Dark-eyed Junco (Slate-colored)"	"Dark-eyed Junco (Oregon)"	"White-crowned Sparrow"	"Harris's Sparrow"	"White-throated Sparrow"	"Vesper Sparrow"	"Savannah Sparrow"	"Song Sparrow"	"Lincoln's Sparrow"	"Swamp Sparrow"	"Spotted Towhee"	"Eastern Towhee"	"Spotted/Eastern Towhee (Rufous-sided Towhee)"	"sparrow sp."	"Northern Cardinal"	"Rose-breasted Grosbeak"	"Red-winged Blackbird"	"Western Meadowlark"	"Eastern Meadowlark"	"Western/Eastern Meadowlark"	"Rusty Blackbird"	"Brewer's Blackbird"	"Common Grackle"	"Common Grackle (Purple)"	"Brown-headed Cowbird"	"Baltimore Oriole"	"blackbird sp."	"Pine Grosbeak"	"House Finch"	"Purple Finch"	"Red Crossbill"	"White-winged Crossbill"	"Common Redpoll"	"Hoary Redpoll"	"redpoll sp."	"Pine Siskin"	"American Goldfinch"	"Spinus sp. (goldfinch sp.)"	"Evening Grosbeak"	"finch sp."	"House Sparrow"	"bird sp."
"Greater White-fronted Goose"	1.0	0.21775	0.44089	-0.08229	-0.03712	-0.12376	0.24612	0.31961	-0.02836	-0.26393	-0.21688	-0.21798	-0.29722	0.4281	-0.17122	0.09432	0.09038	0.11374	-0.02609	-0.01341	0.03735	0.14391	-0.14363	0.49617	0.45128	0.23751	0.47387	0.14386	0.11353	-0.05179	0.51847	-0.04836	-0.22328	-0.2174	-0.03549	-0.09246	-0.05857	-0.13335	-0.33745	0.06494	0.15115	0.50644	0.03172	0.50732	-0.12114	0.46904	0.00742	0.14983	0.61654	0.51847	0.51847	0.51847	0.14918	0.49617	-0.08728	-0.18675	-0.08871	0.11133	0.50732	0.41622	0.17544	0.18577	0.51847	-0.19666	-0.18525	0.50644	0.50644	0.14008	0.50732	-0.22892	0.25386	0.43706	0.30306	-0.19484	0.49543	0.49617	0.51847	-0.14723	-0.11295	0.47387	0.48627	0.55862	0.42343	0.49617	-0.09538	-0.29747	-0.25142	-0.24156	-0.08226	-0.24996	0.4514	-0.07722	-0.18198	0.10117	0.45488	-0.18903	0.43688	-0.22042	-0.05093	-0.00282	-0.18371	-0.18926	-0.05348	-0.18697	0.49205	-0.27953	0.4995	0.59452	0.48442	-0.17956	0.50732	-0.34296	-0.31108	-0.11967	-0.02294	0.06313	0.48003	-0.17374	0.49617	-0.14408	-0.00552	-0.13141	-0.19828	-0.24648	0.4715	-0.0105	0.50732	0.44767	0.10698	0.51847	-0.29376	0.4143	-0.03536	0.49082	0.50732	0.11961	0.51847	-0.21087	0.49617	0.41574	0.16553	0.51847	0.46272	-0.27363	0.45138	0.17145	-0.08563	-0.16997	0.51847	-0.17078	0.50732	0.51847	0.66342	0.44039	0.51847	0.57422	0.44039	0.45846	-0.39274	0.49543	0.33246	0.51847	0.23025	-0.0251	0.50644	-0.36878	-0.00582	0.2645	0.50732	-0.27546	0.44042	0.50579	-0.33207	0.4514	-0.32023	0.47341	0.35342	0.41903	-0.15244	-0.18608	0.51847	-0.20588	0.06302	0.05501	-0.04479	-0.11472	0.44042	-0.23917	-0.05919	-0.20915	0.50732	0.12791	-0.07336	-0.10716	-0.33173	-0.08723	-0.10261	-0.12992	0.43217	0.06848	-0.2874	-0.15322	-0.08462	-0.10192	0.47238	-0.32563	-0.02911
"Snow Goose"	0.21775	1.0	0.56356	0.07882	0.13935	-0.00502	0.17677	-0.0173	0.01464	0.16276	0.0513	-0.20117	-0.12782	0.33149	0.09446	0.16229	0.32856	0.30939	-0.07627	0.17978	0.02127	0.03852	-0.07407	0.36836	0.49474	0.33883	0.42592	0.14561	0.14726	0.01486	0.39139	-0.05339	0.05772	-0.1571	0.10891	-0.06106	-0.04704	-0.15277	-0.32031	0.02634	0.07802	0.38078	0.11459	0.43743	0.33755	0.34668	0.12761	0.32042	0.42625	0.39139	0.39139	0.39139	0.36843	0.36836	0.02002	0.07544	0.13587	0.19705	0.37988	0.38076	0.09209	0.09154	0.39139	0.00113	-0.13825	0.38078	0.38078	0.36776	0.37988	-0.00597	0.1592	0.44023	0.18326	-0.17573	0.36941	0.4029	0.39139	0.2117	0.0496	0.4029	0.34945	0.33414	0.23891	0.42592	-0.04236	-0.0406	-0.03043	0.00541	-0.12917	-0.08462	0.32395	0.04667	-0.19577	0.13153	0.30803	0.0304	0.31183	-0.18445	0.06608	0.04951	-0.01727	-0.01549	0.12758	0.08978	0.37766	-0.05407	0.49182	0.47171	0.41488	-0.07558	0.41441	-0.18507	-0.05034	-0.13103	-0.08408	0.02728	0.35638	-0.00344	0.36836	-0.15711	-0.0153	-0.08936	-0.02964	-0.11104	0.31758	0.07948	0.41441	0.32297	0.14328	0.39139	-0.17752	0.26403	0.12483	0.36752	0.42592	0.12674	0.42592	0.05498	0.36836	0.41271	0.15191	0.39139	0.33383	-0.06578	0.33055	0.10677	0.08404	-0.17014	0.48348	-0.06581	0.37988	0.39139	0.39139	0.39215	0.39139	0.41441	0.38078	0.37866	-0.20691	0.36941	0.3802	0.39139	0.16457	0.10064	0.38078	-0.15934	-0.08106	0.23959	0.41441	-0.08412	0.31436	0.33725	-0.04637	0.42056	-0.03947	0.42625	0.44908	0.29395	-0.16548	-0.00651	0.39139	-0.19146	0.01577	0.00609	-0.06716	-0.13575	0.43224	-0.23382	-0.06784	-0.19836	0.37988	0.07794	-0.09344	0.12852	-0.16826	-0.05558	-0.10718	-0.09395	0.31647	0.02862	-0.11889	-0.0376	-0.10029	-0.1077	0.35222	-0.1771	-0.03859
"Ross's Goose"	0.44089	0.56356	1.0	-0.0992	-0.26703	0.09233	0.05958	-0.24875	-0.13644	-0.1123	-0.25004	-0.31439	-0.53195	0.65469	-0.27091	0.07563	0.02572	0.19891	-0.23339	-0.17545	-0.29097	0.06924	-0.27911	0.80467	0.73196	0.52357	0.91733	0.15472	-0.18511	-0.38506	0.83686	-0.06767	-0.2062	-0.3822	-0.24192	-0.21883	-0.08205	-0.17881	-0.48363	0.13056	0.28875	0.81839	-0.26222	0.82077	0.16806	0.76163	0.11775	0.19695	0.77072	0.83686	0.83686	0.83686	0.11822	0.80467	-0.24029	-0.29064	-0.31658	0.22383	0.82077	0.68442	-0.25482	0.31079	0.83686	-0.48574	-0.40268	0.81839	0.81839	0.35817	0.82077	-0.23186	-0.10362	0.7924	0.50617	-0.21335	0.8025	0.80467	0.83686	-0.07439	-0.36215	0.80467	0.59865	0.55033	0.50458	0.83686	-0.12533	-0.4829	-0.46479	-0.34782	-0.09153	-0.47007	0.73893	-0.35342	-0.22955	0.17307	0.37417	-0.39624	0.71622	-0.29973	-0.35689	-0.057	-0.51524	-0.4989	-0.16689	-0.1318	0.23362	-0.41369	0.43391	0.81839	0.81839	-0.35088	0.82077	-0.59363	-0.47901	-0.16813	-0.37136	0.11443	0.7785	-0.4729	0.80467	-0.20282	-0.43067	-0.35572	-0.49444	-0.57951	0.16377	0.12121	0.82077	0.73179	0.14606	0.83686	-0.52685	0.62013	0.04939	0.79407	0.82077	0.05452	0.83686	-0.30415	0.83686	0.66931	0.21901	0.83686	0.75639	-0.51481	0.73485	0.29067	-0.29412	-0.24673	0.83686	-0.27602	0.82077	0.83686	0.83686	0.72304	0.83686	0.83686	0.75482	0.74736	-0.58213	0.75482	0.53154	0.83686	0.0913	-0.18518	0.81839	-0.53217	0.05457	0.03962	0.82077	-0.38341	0.72202	0.69962	-0.47333	0.77072	-0.42062	0.85017	0.59645	0.69011	-0.21504	-0.48652	0.83686	-0.2778	0.12129	0.1106	-0.04771	-0.21398	0.83974	-0.34979	-0.08129	-0.29576	0.82077	0.21792	-0.09501	-0.29801	-0.48805	-0.11367	-0.13681	-0.18235	0.70356	0.12472	-0.39816	-0.44626	-0.11419	-0.14235	0.76515	-0.62161	-0.03676
"Cackling Goose"	-0.08229	0.07882	-0.0992	1.0	0.58577	0.3177	0.29827	0.31447	0.06481	0.24772	0.05832	0.01508	0.2698	-0.14847	0.7359	0.12584	0.55481	-0.08983	0.12245	0.2889	0.25266	0.03951	0.16932	-0.22162	-0.05388	0.42143	-0.14478	0.28811	0.57943	0.36586	-0.21687	-0.00747	0.56278	0.18958	0.16791	0.20401	0.00478	-0.04166	0.00547	-0.09723	-0.18162	-0.21825	0.6705	-0.17251	0.55661	-0.21208	0.36298	0.52572	0.06786	-0.22083	-0.22083	-0.22083	0.31632	-0.21766	0.14797	0.32549	0.4435	-0.13391	-0.22123	-0.21132	0.33251	-0.15374	-0.22083	0.39266	0.05194	-0.21825	-0.21825	0.01905	-0.22123	0.66864	0.36728	-0.21321	0.16842	-0.10303	-0.21864	-0.1935	-0.20578	0.30508	0.25806	-0.14597	-0.06842	0.02284	-0.12594	-0.17092	0.03613	0.25929	0.29014	0.10154	-0.07647	0.25585	-0.22021	0.40189	-0.05406	-0.09012	0.05526	0.44211	-0.21595	-0.03755	0.43029	0.25985	0.3563	0.39892	0.50351	-0.06884	0.25715	0.13005	0.01068	-0.15684	-0.16995	0.17719	-0.22123	0.20528	0.18619	-0.01669	0.05512	-0.06076	-0.18529	0.40642	-0.22162	-0.01901	0.45014	0.15546	0.36548	0.37063	0.3205	0.04599	-0.22123	-0.18644	0.31215	-0.22083	0.10402	-0.0318	0.56674	-0.21403	-0.1729	0.3262	-0.22083	0.32439	-0.2042	-0.0765	-0.15567	-0.22083	-0.21647	0.34717	-0.15327	-0.1107	0.38001	-0.00053	-0.22083	0.03966	-0.21766	-0.22083	-0.20578	-0.2206	-0.22083	-0.22083	-0.13963	-0.21518	0.16717	-0.17053	-0.14882	-0.22083	0.30409	0.46841	-0.21825	-0.01344	-0.11591	0.23935	-0.22123	0.4276	-0.2177	-0.14581	0.25272	-0.12946	0.29136	-0.19713	-0.15357	-0.21566	-0.01888	0.4046	-0.22083	0.03492	-0.07456	-0.08236	-0.04735	0.10477	-0.2177	0.03405	-0.01329	0.50012	-0.22123	-0.08545	-0.03203	0.37981	-0.00327	0.01358	0.07128	-0.00028	-0.20031	-0.06754	0.48145	0.43237	-0.0245	-0.01649	-0.20847	0.23804	-0.01523
"Canada Goose"	-0.03712	0.13935	-0.26703	0.58577	1.0	0.3949	0.39672	0.80915	0.30294	0.44229	0.2762	0.09067	0.61419	-0.32262	0.79475	0.2959	0.72094	-0.0556	0.24953	0.58263	0.57632	0.04331	0.3574	-0.42612	-0.2188	0.10799	-0.322	0.30727	0.79877	0.72413	-0.43639	-0.01054	0.66945	0.58252	0.39226	0.3504	0.01667	-0.06762	0.03678	-0.17759	-0.29025	-0.43896	0.81943	-0.36786	0.5223	-0.42498	0.37206	0.22386	-0.23594	-0.43707	-0.44296	-0.44439	0.557	-0.43623	0.30265	0.6244	0.84948	-0.1927	-0.44456	-0.4046	0.78711	-0.19487	-0.44358	0.82123	0.23702	-0.43896	-0.43751	-0.05619	-0.44417	0.56574	0.6153	-0.38141	0.07575	-0.04106	-0.43842	-0.40013	-0.40506	0.578	0.6415	-0.32187	0.00159	0.09662	-0.12018	-0.3404	0.09834	0.48129	0.58655	0.31294	-0.13459	0.54963	-0.4372	0.68899	-0.07101	-0.11778	0.17951	0.77424	-0.43011	0.00085	0.90047	0.40464	0.78832	0.81076	0.72163	0.05858	0.41868	0.34375	0.2582	-0.27348	-0.23893	0.48172	-0.43013	0.53367	0.50942	-0.02312	0.30659	-0.11694	-0.35332	0.79864	-0.44456	-0.02579	0.8118	0.46717	0.78442	0.6618	0.52676	0.03834	-0.43033	-0.32638	0.57392	-0.44455	0.33252	-0.07264	0.62181	-0.4301	-0.36583	0.47872	-0.43033	0.69503	-0.42692	-0.13351	-0.24622	-0.44435	-0.41273	0.61901	-0.3161	-0.21675	0.66438	0.06162	-0.42525	0.15533	-0.36311	-0.42418	-0.39608	-0.43064	-0.44453	-0.42795	-0.27255	-0.38993	0.35588	-0.32421	-0.18558	-0.44455	0.51121	0.8005	-0.43896	0.17945	-0.21705	0.59229	-0.39596	0.64934	-0.42981	-0.25519	0.51457	-0.26827	0.54555	-0.35357	-0.07573	-0.4269	-0.025	0.80419	-0.44455	0.05171	-0.13879	-0.15546	-0.07625	0.0474	-0.39025	0.09784	-0.02082	0.18712	-0.44338	-0.16723	-0.05468	0.79822	0.07654	-0.0006	0.0453	0.03424	-0.40073	-0.13003	0.47847	0.79861	-0.03996	-0.02314	-0.41847	0.51136	-0.02639
"Mute Swan"	-0.12376	-0.00502	0.09233	0.3177	0.3949	1.0	0.19146	0.20404	0.01145	0.33074	0.13667	-0.00729	0.31963	-0.01559	0.28688	-0.07681	0.10101	-0.00711	0.02608	0.04233	0.0335	-0.0676	0.03988	-0.17055	-0.15923	0.09083	0.10233	-0.03506	0.22722	0.11542	-0.16416	-0.01593	0.5645	0.2696	0.10821	0.15211	-0.01495	-0.06646	-0.02302	-0.08337	-0.17935	-0.17788	0.19378	-0.15989	0.31122	-0.17631	0.2458	-0.00819	-0.17578	-0.16416	-0.17055	-0.17908	0.37025	-0.16842	-0.05099	0.4468	0.41164	-0.0555	-0.18121	-0.12391	0.17303	-0.11544	-0.17908	0.41766	0.15064	-0.17788	-0.17788	0.29769	-0.18121	0.30873	-0.00871	-0.13656	0.36507	-0.01285	-0.17999	-0.18334	-0.17908	0.34872	0.20478	-0.08528	-0.16134	0.00254	-0.11391	-0.18334	-0.02149	0.28403	0.36446	0.26991	-0.10126	0.25387	-0.18841	0.16638	-0.04503	-0.06878	0.0187	0.33165	-0.18563	-0.06921	0.35132	0.41153	0.32884	0.34625	0.4003	0.09145	0.05695	0.22597	-0.09551	-0.12315	-0.18209	0.35733	-0.17055	0.22343	0.36427	-0.03734	0.09497	-0.0612	-0.17738	0.41437	-0.18334	-0.04371	0.19926	0.23808	0.32691	0.31702	-0.10365	0.44692	-0.17055	-0.15263	0.54288	-0.17908	0.1588	0.19364	0.64861	-0.17532	-0.12792	0.40626	-0.16842	0.46408	-0.10446	-0.12535	-0.16792	-0.17908	-0.17482	0.36374	-0.04215	-0.10303	0.44862	0.017	-0.16629	0.04333	-0.18121	-0.16203	-0.17908	-0.18209	-0.17908	-0.17908	-0.08315	-0.1485	0.18368	-0.11052	-0.09193	-0.17908	0.42235	0.444	-0.17788	0.09187	-0.09508	0.15268	-0.12792	0.41414	-0.17778	-0.09671	0.27197	0.00105	0.36176	-0.13788	-0.05926	-0.18797	-0.0448	0.41218	-0.17908	0.03514	-0.08326	-0.08415	-0.04995	-0.02107	-0.1258	0.03665	-0.02433	0.02744	-0.18121	-0.08019	-0.04824	0.46129	0.03167	-0.02097	0.00213	-0.00389	-0.16815	-0.06827	0.12745	0.4955	-0.04117	-0.03376	-0.17161	0.18128	-0.02207
"Trumpeter Swan"	0.24612	0.17677	0.05958	0.29827	0.39672	0.19146	1.0	0.4441	0.15035	0.01038	-0.04291	-0.06418	0.08663	0.01928	0.38881	0.1028	0.50037	-0.02851	0.08163	0.71176	0.4212	0.01643	0.16112	0.00469	0.1819	0.1888	0.04687	0.16128	0.54466	0.44927	0.04219	-0.02523	0.34715	0.1612	0.28558	0.22999	0.02652	-0.08174	-0.1354	-0.05753	-0.07662	0.01157	0.53328	0.00937	0.11965	0.00224	0.238	0.1136	0.19671	0.01406	0.01406	0.01406	0.44269	0.03281	0.31392	0.17067	0.351	-0.06519	0.00937	-0.01772	0.53246	-0.06035	0.01406	0.23794	0.24067	0.01157	0.01157	0.02692	0.00937	0.19033	0.56331	-0.0112	0.26391	-0.14499	0.00694	0.00469	0.02812	0.15311	0.14758	0.02344	0.30864	0.23112	0.14075	0.05156	0.13178	0.04416	0.18685	0.0	-0.09727	0.11626	-0.01157	0.38166	-0.11958	-0.01575	0.3475	0.27714	-0.0136	-0.08876	0.40469	0.13993	0.27046	0.27978	0.39252	-0.08409	0.2926	0.02172	0.31887	0.1458	0.06943	0.10684	0.00937	0.0855	0.04333	-0.06091	0.41715	-0.02716	0.03174	0.26859	0.00469	-0.07241	0.40673	0.09236	0.25822	0.17036	0.29149	0.04707	0.00937	0.02721	0.25768	0.01406	-0.0313	0.24943	0.35532	0.00907	0.01875	0.18129	0.01406	0.28193	0.00469	0.13668	-0.00966	0.01406	-0.00937	0.12374	0.04634	-0.02746	0.31899	-0.0687	0.01406	0.05515	0.02344	0.02344	0.0375	-0.0162	0.01406	0.11719	0.0162	0.0136	0.02027	0.01157	0.13332	0.01406	0.30954	0.45265	0.01157	-0.11347	-0.07946	0.32835	0.00937	0.12613	0.01371	0.1639	0.07861	0.07174	0.07453	0.03703	0.15544	-0.02033	-0.07556	0.30532	0.01406	-0.00928	-0.03854	-0.03882	-0.05783	-0.03096	-0.01371	-0.05732	-0.03442	0.01514	0.00937	-0.02292	-0.05592	0.31764	-0.10765	-0.04778	-0.02138	-0.05024	-0.00211	-0.03084	0.05346	0.2474	-0.05389	-0.05381	0.00662	0.07588	-0.02433
"Tundra Swan"	0.31961	-0.0173	-0.24875	0.31447	0.80915	0.20404	0.4441	1.0	0.29962	0.17809	0.08621	0.06614	0.42289	-0.2742	0.54834	0.25573	0.62632	-0.12595	0.26622	0.50838	0.58074	0.07664	0.32921	-0.32494	-0.1567	-0.01849	-0.25769	0.20626	0.70907	0.67772	-0.28433	-0.00796	0.43281	0.55437	0.30936	0.23896	0.01338	-0.05068	0.0204	-0.13537	-0.23162	-0.32081	0.69624	-0.29895	0.24373	-0.31068	0.24638	0.0898	-0.13937	-0.32011	-0.32489	-0.32489	0.4191	-0.28439	0.27744	0.41223	0.68111	-0.18402	-0.32491	-0.28867	0.80672	-0.11755	-0.32489	0.62231	0.21409	-0.32081	-0.32081	-0.11707	-0.32491	0.27374	0.64746	-0.308	0.08849	-0.12094	-0.31782	-0.29287	-0.28809	0.37861	0.53458	-0.2187	0.12235	0.22327	-0.01148	-0.25178	0.07471	0.30559	0.41958	0.11983	-0.09819	0.40653	-0.32095	0.57431	-0.06822	-0.11176	0.28378	0.60724	-0.31448	0.00575	0.80531	0.35593	0.64507	0.65992	0.62952	-0.07177	0.46148	0.18067	0.37777	-0.14604	-0.12136	0.36364	-0.32469	0.43099	0.30687	-0.01726	0.31774	-0.08575	-0.24121	0.63657	-0.32494	-0.01931	0.78053	0.35559	0.65119	0.52017	0.57943	-0.03619	-0.32469	-0.23558	0.4958	-0.32489	0.22707	0.00665	0.43778	-0.31434	-0.28561	0.31667	-0.32466	0.52027	-0.30599	-0.08329	-0.15116	-0.32489	-0.29627	0.45667	-0.22042	-0.15877	0.57795	0.01023	-0.32457	0.08482	-0.22435	-0.32375	-0.21762	-0.31634	-0.32489	-0.28247	-0.17198	-0.31224	0.21744	-0.24927	-0.17397	-0.32489	0.56371	0.69089	-0.32081	0.01064	-0.15804	0.5646	-0.29969	0.39663	-0.31504	-0.14676	0.29977	-0.17547	0.33767	-0.26635	-0.08764	-0.31194	-0.01874	0.64413	-0.32489	0.01988	-0.09898	-0.11482	-0.06134	0.03054	-0.3103	0.0725	-0.01541	0.04967	-0.32491	-0.12237	-0.04028	0.61242	0.0249	-0.0011	0.00544	0.01897	-0.29294	-0.09522	0.30569	0.6361	-0.02951	-0.01652	-0.30591	0.38848	-0.01943
"Wood Duck"	-0.02836	0.01464	-0.13644	0.06481	0.30294	0.01145	0.15035	0.29962	1.0	0.20309	0.27622	0.12718	0.41593	-0.05741	0.50881	0.25275	0.28845	0.02085	0.03646	0.24811	0.16861	-0.01001	0.14797	-0.14251	-0.02419	0.19458	-0.15217	0.53408	0.31432	0.47658	-0.15217	-0.02977	0.21848	0.34086	0.1589	0.15627	-0.01876	-0.06784	0.06559	-0.06532	0.01541	-0.16695	0.4181	-0.16183	0.17885	-0.17089	0.20243	0.04289	-0.14787	-0.15217	-0.15217	-0.15217	0.23445	-0.14734	0.11274	0.28424	0.36681	0.12576	-0.17149	-0.06848	0.31671	-0.10427	-0.13768	0.38245	0.19436	-0.16695	-0.12402	0.0815	-0.157	0.13848	0.282	-0.08082	0.02626	0.14846	-0.13595	-0.13285	-0.00725	0.15115	0.45525	-0.16183	0.36559	0.42451	0.23892	-0.14251	0.18559	0.32242	0.46556	0.26388	0.07797	0.4702	-0.08109	0.39089	0.01789	0.09741	0.27337	0.52885	-0.17994	0.08846	0.42546	0.15643	0.4671	0.44483	0.24484	0.19153	-0.01122	0.3293	0.09418	-0.12879	-0.10733	0.31538	-0.14734	0.37717	0.29345	-0.07118	0.14879	-0.0757	0.15189	0.44645	-0.17632	-0.07841	0.38304	0.40413	0.50763	0.39474	0.4457	0.09702	-0.157	0.16591	0.51359	-0.16666	0.2173	-0.04654	0.23029	-0.16591	-0.17149	0.19502	-0.15217	0.40878	-0.14251	0.06466	0.03387	-0.157	-0.10869	0.36658	-0.14554	-0.11201	0.23843	-0.02622	-0.14734	0.09363	-0.14734	-0.15217	-0.15217	-0.07394	-0.16666	-0.14734	-0.13833	-0.10516	0.30528	-0.16218	0.07756	-0.16666	0.35957	0.26541	-0.16695	0.25376	-0.00126	0.21082	-0.14734	0.27738	-0.12014	0.00685	0.37242	-0.11687	0.39894	0.07871	0.01885	-0.04888	-0.08262	0.44598	-0.16666	0.10622	-0.0422	-0.09534	-0.03142	0.03015	-0.10601	0.28002	-0.04394	0.19289	-0.13285	-0.09176	-0.03446	0.42679	0.19923	0.18616	0.03181	-0.01428	-0.16547	-0.08477	0.24218	0.38055	-0.06487	-0.02065	-0.16373	0.39691	-0.03583
"Gadwall"	-0.26393	0.16276	-0.1123	0.24772	0.44229	0.33074	0.01038	0.17809	0.20309	1.0	0.59199	0.11377	0.66674	-0.29967	0.44656	0.183	0.40073	0.12371	0.10048	0.17868	0.22535	-0.07973	0.16676	-0.40755	-0.34548	-0.17766	-0.26337	0.07143	0.42179	0.34696	-0.4542	-0.00513	0.66271	0.33121	0.40591	0.24788	-0.00306	-0.03881	0.18942	-0.03316	-0.0216	-0.45183	0.26007	-0.38964	0.73206	-0.43541	0.52382	0.20944	-0.36833	-0.43672	-0.43937	-0.42958	0.30692	-0.42568	0.16652	0.50451	0.4862	0.01102	-0.45653	-0.28432	0.1867	-0.25905	-0.42693	0.57836	0.32154	-0.45087	-0.40646	0.01902	-0.43434	0.63606	0.18098	-0.18063	-0.10789	0.33316	-0.40349	-0.39451	-0.44906	0.77004	0.52828	-0.42817	-0.32176	-0.15008	-0.16798	-0.43737	0.21546	0.66957	0.64667	0.55341	0.11328	0.60049	-0.36061	0.28568	0.04981	0.04547	-0.16842	0.55113	-0.44299	0.1547	0.43388	0.19115	0.60039	0.59374	0.19229	0.52756	-0.0923	0.6118	-0.13481	-0.2785	-0.42375	0.51228	-0.40284	0.57489	0.64692	-0.022	0.23759	-0.11405	-0.39728	0.63118	-0.45675	-0.02273	0.32223	0.52566	0.59409	0.58123	-0.0671	0.23051	-0.41064	-0.36146	0.31728	-0.45729	0.49868	-0.06236	0.24698	-0.44168	-0.41253	0.32492	-0.41069	0.57471	-0.43526	-0.31855	-0.08809	-0.44966	-0.3937	0.62171	-0.34462	-0.20716	0.65569	0.04442	-0.44744	0.23335	-0.44376	-0.44132	-0.45177	-0.32039	-0.45642	-0.45415	-0.36547	-0.38099	0.56645	-0.3819	-0.21187	-0.45729	0.30185	0.45489	-0.45183	0.53971	-0.09515	0.13868	-0.37887	0.58576	-0.38643	-0.3601	0.5928	-0.38506	0.66601	-0.28635	-0.2294	-0.32412	-0.02362	0.59791	-0.45745	0.22108	-0.15052	-0.15192	-0.02953	0.0934	-0.14481	0.32649	-0.02067	0.34028	-0.41908	-0.17186	0.00138	0.53682	0.30511	0.13259	0.06488	0.07051	-0.40536	-0.13279	0.39633	0.59103	-0.03901	0.0197	-0.42818	0.5249	-0.02744
