"bird_name"	"Greater White-fronted Goose"	"Snow Goose"	"Ross's Goose"	"Cackling Goose"	"Canada Goose"	"Mute Swan"	"Trumpeter Swan"	"Tundra Swan"	"Wood Duck"	"Gadwall"	"American Wigeon"	"American Black Duck"	"Mallard"	"Blue-winged Teal"	"Northern Shoveler"	"Northern Pintail"	"Green-winged Teal"	"Green-winged Teal (American)"	"Canvasback"	"Redhead"	"Ring-necked Duck"	"Greater Scaup"	"Lesser Scaup"	"Harlequin Duck"	"Surf Scoter"	"White-winged Scoter"	"Black Scoter"	"Long-tailed Duck"	"Bufflehead"	"Common Goldeneye"	"Barrow's Goldeneye"	"Common/Barrow's Goldeneye"	"Hooded Merganser"	"Common Merganser"	"Red-breasted Merganser"	"Ruddy Duck"	"duck sp."	"Northern Bobwhite"	"Ring-necked Pheasant"	"Gray Partridge"	"Ruffed Grouse"	"Greater/Lesser Prairie-Chicken"	"Wild Turkey"	"Red-throated Loon"	"Common Loon"	"loon sp."	"Pied-billed Grebe"	"Horned Grebe"	"Red-necked Grebe"	"Western Grebe"	"Double-crested Cormorant"	"American Bittern"	"Great Blue Heron (Blue form)"	"Black-crowned Night-Heron"	"Northern Harrier"	"Sharp-shinned Hawk"	"Cooper's Hawk"	"Northern Goshawk"	"Northern Goshawk (American)"	"Accipiter sp."	"Bald Eagle"	"Red-shouldered Hawk"	"Broad-winged Hawk"	"Red-tailed Hawk"	"Rough-legged Hawk"	"Buteo sp."	"King Rail"	"Virginia Rail"	"Sora"	"American Coot"	"Sandhill Crane"	"Killdeer"	"Wilson's Snipe"	"Wilson's/Common Snipe"	"American Woodcock"	"Black-legged Kittiwake"	"Bonaparte's Gull"	"Ring-billed Gull"	"Herring Gull"	"Thayer's Gull"	"Iceland Gull"	"Lesser Black-backed Gull"	"Glaucous Gull"	"Great Black-backed Gull"	"gull sp."	"Rock Pigeon (Feral Pigeon)"	"Mourning Dove"	"Eastern Screech-Owl"	"screech-owl sp."	"Great Horned Owl"	"Snowy Owl"	"Barred Owl"	"Long-eared Owl"	"Short-eared Owl"	"Northern Saw-whet Owl"	"Belted Kingfisher"	"kingfisher sp."	"Red-headed Woodpecker"	"Red-bellied Woodpecker"	"Yellow-bellied Sapsucker"	"Downy Woodpecker"	"Hairy Woodpecker"	"Northern Flicker"	"Northern Flicker (Yellow-shafted)"	"Pileated Woodpecker"	"American Kestrel"	"Merlin"	"Peregrine Falcon"	"Eastern Phoebe"	"Northern Shrike"	"White-eyed Vireo"	"Blue Jay"	"American Crow"	"crow sp."	"Horned Lark"	"Horned Lark (Eastern dark Group)"	"Barn Swallow"	"Black-capped Chickadee"	"Boreal Chickadee"	"chickadee sp."	"Tufted Titmouse"	"Red-breasted Nuthatch"	"White-breasted Nuthatch"	"Brown Creeper"	"Winter Wren"	"Pacific/Winter Wren"	"Sedge Wren"	"Marsh Wren"	"Carolina Wren"	"Bewick's Wren"	"Golden-crowned Kinglet"	"Ruby-crowned Kinglet"	"Eastern Bluebird"	"bluebird sp."	"Townsend's Solitaire"	"Hermit Thrush"	"Wood Thrush"	"American Robin"	"Varied Thrush"	"Gray Catbird"	"Brown Thrasher"	"Sage Thrasher"	"Northern Mockingbird"	"European Starling"	"American Pipit"	"Bohemian Waxwing"	"Cedar Waxwing"	"Lapland Longspur"	"longspur sp."	"Snow Bunting"	"Ovenbird"	"Northern Waterthrush"	"Orange-crowned Warbler"	"Common Yellowthroat"	"yellowthroat sp."	"Pine Warbler"	"Yellow-rumped Warbler"	"Yellow-rumped Warbler (Myrtle)"	"American Tree Sparrow"	"Chipping Sparrow"	"Field Sparrow"	"Black-throated Sparrow"	"Fox Sparrow"	"Dark-eyed Junco"	"Dark-eyed Junco (Slate-colored/Cassiar)"	"Dark-eyed Junco (Slate-colored)"	"Dark-eyed Junco (Oregon)"	"White-crowned Sparrow"	"Harris's Sparrow"	"White-throated Sparrow"	"Vesper Sparrow"	"Savannah Sparrow"	"Song Sparrow"	"Lincoln's Sparrow"	"Swamp Sparrow"	"Spotted Towhee"	"Eastern Towhee"	"Spotted/Eastern Towhee (Rufous-sided Towhee)"	"sparrow sp."	"Northern Cardinal"	"Rose-breasted Grosbeak"	"Red-winged Blackbird"	"Western Meadowlark"	"Eastern Meadowlark"	"Western/Eastern Meadowlark"	"Rusty Blackbird"	"Brewer's Blackbird"	"Common Grackle"	"Common Grackle (Purple)"	"Brown-headed Cowbird"	"Baltimore Oriole"	"blackbird sp."	"Pine Grosbeak"	"House Finch"	"Purple Finch"	"Red Crossbill"	"White-winged Crossbill"	"Common Redpoll"	"Hoary Redpoll"	"redpoll sp."	"Pine Siskin"	"American Goldfinch"	"Spinus sp. (goldfinch sp.)"	"Evening Grosbeak"	"finch sp."	"House Sparrow"	"bird sp."
"Greater White-fronted Goose"	0.0	8.06226	11.04536	7.0	23.02173	13.0	7.61577	18.60108	6.08276	23.02173	4.0	22.02272	27.0	13.0	21.0238	9.21954	6.40312	13.0	16.27882	10.0	7.28011	5.0	8.0	13.0	5.09902	6.08276	13.0	2.23607	17.69181	20.0	13.0	13.0	10.0	15.0	3.0	4.24264	5.83095	13.0	16.40122	13.0	11.40175	13.0	23.02173	13.0	3.0	13.0	9.43398	8.06226	11.0	13.0	13.0	13.0	5.65685	13.0	5.0	7.07107	18.86796	11.04536	13.0	13.0	14.21267	11.18034	13.0	23.02173	4.47214	13.0	13.0	11.04536	13.0	19.64688	7.0	13.0	11.0	13.0	13.0	11.7047	11.18034	15.52417	15.81139	13.0	6.32456	6.32456	8.24621	11.04536	13.0384	23.02173	23.02173	11.0	13.0	15.65248	13.0	5.38516	13.0	8.06226	9.21954	8.94427	13.0	11.0	23.02173	9.21954	27.0	23.02173	9.48683	13.0	5.09902	10.0	8.60233	11.0	11.04536	6.7082	13.0	27.0	27.0	13.0	5.65685	13.0	9.21954	27.0	13.0	13.0	18.02776	10.77033	27.0	20.0	4.12311	13.0	13.0	9.21954	3.0	13.0	10.0	11.0	7.0	13.0	13.0	10.04988	13.0	23.02173	13.0	9.05539	10.77033	13.0	13.0	27.0	13.0	13.0	23.02173	7.0	13.0	8.24621	12.08305	13.0	11.04536	13.0	13.0	12.52996	12.08305	13.0	27.0	11.7047	11.0	13.0	5.09902	23.02173	13.0	17.0	13.0	4.12311	13.0	14.56022	13.0	11.18034	14.76482	12.08305	7.2111	10.19804	11.0	13.0	13.0	27.0	13.0	13.0	11.18034	13.0	13.0	5.0	13.0	12.04159	13.0	5.0	13.0	13.0	13.0	23.02173	9.21954	10.04988	3.60555	6.0	13.0	13.0	7.2111	26.68333	13.0	13.0	13.0	27.0	13.0
"Snow Goose"	8.0	0.0	5.83095	8.0	20.61553	5.0	5.83095	17.02939	5.0	20.61553	4.0	22.02272	27.0	6.32456	20.61553	3.60555	6.08276	5.0	13.34166	11.18034	6.7082	5.65685	7.28011	8.0	8.0	8.0	7.81025	5.38516	13.92839	20.61553	8.0	8.0	10.0	13.0384	4.12311	4.24264	8.0	7.0	16.40122	7.0	8.0	8.0	20.61553	6.7082	4.47214	8.0	4.12311	5.38516	8.0	7.0	8.0	8.0	3.60555	8.0	5.0	6.32456	17.88854	5.83095	8.0	8.0	12.72792	6.32456	8.0	20.61553	4.47214	8.0	8.0	5.38516	8.0	19.64688	6.7082	5.38516	6.0	5.0	8.0	8.0	8.0	13.92839	14.31782	7.2111	8.0	6.08276	6.32456	8.0	8.0	20.61553	21.9545	11.0	8.0	14.86607	8.0	5.09902	6.08276	5.0	6.32456	8.60233	8.0	5.38516	20.61553	5.0	27.0	20.80865	9.48683	5.0	6.7082	10.0	4.47214	7.07107	8.0	4.0	6.32456	27.0	27.0	8.0	5.38516	8.0	8.0	27.0	8.0	8.0	16.40122	10.63015	27.0	20.61553	8.0	5.0	6.32456	6.40312	3.16228	8.0	9.48683	7.2111	7.0	8.0	8.0	3.16228	6.32456	20.61553	7.81025	6.40312	7.0	8.0	7.0	27.0	6.32456	8.0	20.61553	5.0	7.0	8.0	8.0	6.40312	8.0	7.0	8.0	8.0	8.0	5.0	27.0	8.0	5.0	8.0	5.38516	20.61553	8.0	17.0	6.40312	6.0	6.32456	14.31782	7.0	8.0	14.14214	7.0	7.2111	7.2111	5.09902	8.0	8.0	27.0	8.0	13.0	8.0	7.0	6.32456	5.0	6.32456	12.04159	8.0	5.0	8.0	8.0	8.0	20.61553	9.21954	5.09902	6.08276	4.0	8.0	8.0	7.2111	26.68333	8.0	7.0	8.0	27.0	8.0
"Ross's Goose"	5.0	2.0	0.0	7.28011	20.09975	4.24264	4.24264	17.80449	3.60555	20.09975	4.0	22.02272	27.0	4.24264	20.09975	3.0	5.65685	2.82843	13.0	10.19804	6.7082	4.47214	8.06226	5.0	5.0	5.0	3.0	3.60555	13.15295	20.09975	5.0	5.0	10.0	13.15295	3.60555	4.24264	5.0	5.0	16.40122	5.0	5.0	5.0	20.09975	3.60555	4.47214	5.0	2.23607	3.0	5.0	5.0	5.0	5.0	3.16228	5.0	3.0	6.32456	18.35756	4.24264	5.0	5.0	13.45362	4.24264	5.0	20.09975	4.47214	5.0	5.0	3.60555	5.0	19.64688	7.28011	3.0	3.16228	5.0	5.0	5.0	5.0	15.13275	15.29706	3.16228	5.0	3.16228	3.16228	5.0	5.0	20.09975	21.9545	11.0	5.0	15.23155	5.0	5.09902	4.47214	3.60555	4.24264	8.60233	5.0	3.16228	20.09975	3.60555	27.0	20.80865	9.48683	5.0	3.60555	10.0	3.16228	3.0	5.0	4.12311	4.24264	27.0	27.0	5.0	5.65685	5.0	5.0	27.0	5.0	5.0	17.20465	10.77033	27.0	20.09975	5.0	2.82843	4.24264	5.0	3.0	5.0	10.0	3.0	7.0	5.0	4.24264	3.60555	4.24264	20.09975	5.0	2.23607	5.0	5.0	5.0	27.0	3.0	5.0	20.09975	3.0	5.0	5.09902	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.12311	27.0	3.16228	3.16228	5.0	3.0	20.09975	5.0	17.0	5.0	3.16228	3.16228	14.56022	5.0	3.16228	14.31782	5.0	7.2111	3.0	2.23607	5.0	5.0	27.0	5.0	13.0	5.0	5.0	3.16228	5.0	2.0	12.04159	5.0	5.0	5.0	5.0	5.0	20.09975	9.21954	4.0	2.0	4.0	5.0	5.0	7.2111	26.68333	5.0	5.0	5.0	27.0	5.0
"Cackling Goose"	372.13438	377.33937	380.15918	0.0	92.19544	317.05678	356.14042	50.15974	352.0909	20.0	264.37095	32.55764	82.76473	380.00526	26.1725	377.00133	360.16802	359.27288	64.62971	182.27452	260.01731	358.71995	29.42788	383.63133	377.16044	378.16002	383.04699	372.3023	30.36445	49.92995	383.01175	152.0	255.0	49.0408	345.57922	138.81282	329.15194	352.43297	164.62381	372.37615	381.18237	385.0	35.44009	383.00522	354.17086	385.0	374.03877	372.0	382.0	383.42274	383.63133	384.17314	376.04787	383.01175	367.13621	373.06568	349.00573	378.12167	385.0	381.81933	322.00155	380.84774	384.8805	223.0807	357.79883	385.0	383.8854	378.47721	384.09634	45.17743	127.19277	382.25646	377.1326	374.04946	383.0248	383.04699	383.08354	23.02173	52.49762	383.00522	378.08465	378.08465	380.0842	383.01175	102.88343	101.98039	56.32051	241.7478	366.58014	286.53098	383.88149	373.13402	370.46592	376.89786	380.01184	361.08863	385.0	360.57315	30.80584	376.06515	52.00961	225.14218	346.00578	367.54456	374.00535	354.27249	379.03298	382.57679	382.03272	370.39033	383.25579	54.08327	70.26379	221.9955	164.04877	352.23004	381.08398	69.12308	385.0	292.98464	320.12654	161.89503	52.23983	283.0159	373.08578	378.02116	383.25579	381.08398	374.08555	385.0	287.31342	381.04724	354.05084	385.0	383.00131	377.06498	383.25579	30.26549	383.06396	381.15876	381.10497	384.41904	383.01175	119.57006	380.0842	376.66165	34.48188	94.82616	383.33406	190.41271	383.03264	383.29362	383.10573	383.0248	385.0	383.02089	382.00131	381.29516	62.482	382.00131	381.29516	385.0	374.03342	385.10518	385.0	81.84131	376.47045	376.00133	383.13053	260.43233	382.5232	381.08398	241.29857	382.47222	356.82068	382.08376	382.13087	383.42274	293.23199	60.82763	385.0	31.57531	366.15434	366.00546	343.59424	69.6563	382.15834	51.73973	177.72451	42.54409	384.41904	365.36694	322.90246	121.06197	171.71197	282.70302	210.31881	162.0864	383.26231	359.68041	23.02173	51.42956	300.74574	206.4001	385.0	111.28791	209.88807
"Canada Goose"	25034.0005	25039.00881	25042.00511	24662.00051	0.0	24979.00242	25018.0005	21254.00038	25014.00018	22773.00562	24926.00724	22678.09031	15596.00721	25042.00098	23496.00053	25039.00072	25022.00072	25021.00721	22962.08643	24844.0005	24922.00008	25016.07933	24036.08789	25045.01455	25039.00072	25040.00072	25045.00242	25034.00799	23889.00052	22729.00009	25045.00128	24596.11742	24917.0005	20737.0001	25007.0125	24800.00806	24246.08447	25007.11855	24811.11336	25032.04412	25042.02446	25044.21594	24565.00051	25045.00018	25016.00512	25043.11532	25034.03867	25034.0005	25044.0005	25045.01056	25045.01455	25045.02446	25038.00002	25045.00128	25029.0005	25035.00288	25011.00002	25038.04044	25045.07924	25043.01797	24984.00032	25039.06951	25045.03691	24885.00002	25016.06494	25044.07924	25044.03692	25040.0115	25045.02308	14142.00088	24191.00052	25043.03522	25039.00449	25035.02175	25044.02174	25045.00002	25045.00018	19252.00665	22135.019	25045.00008	25040.00018	25040.00018	25042.00018	25045.00008	24196.03821	23682.03549	23304.02781	24903.01156	25027.03039	24946.03706	25044.06487	25035.0005	25025.12469	25038.01919	25042.00008	25023.00018	25043.11231	25020.04604	24684.0	25038.00288	24530.00018	24887.00018	25008.00018	25029.01249	25036.00018	25015.02449	25041.0	25044.0135	25044.0	25032.00967	25045.00721	24371.01085	21046.09132	24873.11008	24826.00002	25007.11549	25043.00018	23201.00019	25045.06716	24946.11884	24982.00032	24823.00975	24357.00018	24945.00128	25035.00018	25040.00162	25045.00721	25043.00018	25036.00018	25045.06716	24944.07216	25043.00242	25016.00242	25043.11838	25045.00072	25039.00288	25045.00721	24219.00349	25045.00287	25043.00072	25042.02308	25045.02883	25045.00008	17252.01669	25042.00337	25027.19187	24323.00206	24239.08187	25045.0088	24846.05868	25045.0	25045.00799	25045.00032	25044.02174	25045.11531	25045.00002	25044.00072	25043.00799	22431.02006	25044.00032	25043.00799	25045.06716	25036.002	22759.00055	25044.08962	22864.00632	25035.06263	25038.0	25045.00449	24922.00803	25044.01248	25043.00337	24902.01807	25044.0115	25017.0336	25044.00018	25044.00449	25044.02883	24946.12194	24038.00019	25045.07187	17688.01767	25024.07193	25024.06955	25001.07442	24716.04857	25044.00511	24696.0392	24831.07249	24446.00051	25045.02883	25020.12158	24983.03202	23581.00019	24825.07011	24942.03881	24865.07239	24376.05546	25041.07675	25015.10945	24346.00051	23734.00474	24954.1188	24862.06307	25042.11533	17846.0787	24864.0773
"Mute Swan"	57.28001	60.82763	63.1981	15.0	27.65863	0.0	42.15448	22.36068	37.69615	20.0	9.89949	22.02272	65.79514	63.12686	21.0238	60.20797	46.23851	42.75512	13.15295	15.6205	11.6619	59.22837	13.45362	67.91171	62.36185	63.28507	66.0	55.7315	25.55386	20.0	66.06815	68.0	10.0	23.08679	31.30495	17.72005	25.23886	64.66065	24.33105	59.61543	66.21933	68.0	20.0	66.37017	37.33631	68.0	57.21888	55.3263	65.27634	67.08204	67.91171	68.0	60.20797	66.06815	52.49762	56.00893	32.24903	66.00758	68.0	66.00758	14.21267	65.9242	68.0	20.61553	52.95281	68.0	68.0	62.36986	68.0	19.64688	12.36932	65.49046	60.13319	57.31492	68.0	67.08204	67.46851	15.52417	29.06888	66.00758	62.58594	62.58594	64.53681	66.61081	20.0	68.06614	42.04759	12.80625	55.56978	26.92582	68.0	58.24088	63.82006	62.29767	63.63961	46.17359	68.0	50.53712	21.0238	59.00847	31.38471	25.31798	30.08322	51.62364	57.55867	42.15448	62.96825	66.18912	65.9242	54.00926	66.48308	36.05551	47.09565	68.0	7.61577	68.0	65.51336	58.5235	68.0	63.3877	18.02776	10.77033	32.44996	20.0	57.72348	61.03278	66.48308	65.51336	58.69412	68.0	17.0	64.0	37.0	68.0	66.0303	60.00833	66.48308	22.13594	66.00758	65.27634	66.06815	68.0	66.61081	65.51336	63.03174	68.0	20.0	13.41641	66.75328	24.16609	66.91039	66.61081	67.68309	67.26812	68.0	66.75328	65.19202	64.62971	56.0803	65.37584	64.62971	68.0	57.00877	68.06614	68.0	68.0	63.56099	59.4138	66.1211	14.56022	66.4906	64.03124	14.76482	66.0	41.76123	66.18912	65.12296	68.0	62.36185	44.04543	68.0	13.0	66.52819	65.79514	54.626	17.08801	65.19202	18.11077	52.49762	25.6125	68.0	68.0	29.27456	50.32892	16.03122	43.41659	25.4951	13.92839	68.0	68.0	16.55295	39.44617	67.77905	43.84062	68.0	62.36185	68.0
"Trumpeter Swan"	16.0	24.02082	27.01851	9.05539	34.66987	15.52417	0.0	18.43909	11.7047	20.39608	7.2111	22.02272	34.66987	26.83282	20.39608	23.70654	7.2111	24.18677	13.15295	10.77033	8.06226	19.41649	10.81665	29.0	21.0238	22.02272	29.0	17.11724	13.60147	20.39608	29.0	29.0	10.0	13.0	12.0	4.0	21.2132	29.0	18.38478	29.0	27.16616	29.0	21.84033	28.16026	10.77033	29.0	21.47091	18.86796	27.0	29.0	29.0	29.0	20.39608	29.0	11.0	22.13594	15.6205	27.01851	29.0	29.0	12.08305	26.4764	29.0	34.66987	14.31782	29.0	29.0	27.01851	29.0	19.64688	20.39608	29.0	27.0	28.42534	29.0	27.29469	27.07397	22.2036	21.63331	27.89265	22.09072	22.09072	24.08319	27.01851	11.0	34.66987	34.66987	11.7047	29.0	14.14214	29.0	17.0	29.0	23.34524	25.0	8.60233	29.0	25.96151	34.66987	23.08679	34.66987	34.66987	9.48683	26.83282	19.69772	21.0238	23.5372	27.0	26.4764	21.2132	29.0	34.66987	34.66987	29.0	5.65685	29.0	25.07987	34.66987	29.0	29.0	16.15549	10.77033	34.66987	20.39608	17.11724	26.07681	29.0	25.07987	18.11077	29.0	10.0	27.0	15.13275	29.0	29.0	24.35159	29.0	33.61547	29.0	25.01999	26.30589	29.0	27.89265	34.66987	29.0	29.0	32.01562	10.44031	29.0	5.0	27.45906	29.0	27.01851	29.0	29.0	27.65863	27.45906	29.0	34.66987	27.29469	27.0	29.0	21.0238	34.66987	29.0	29.0	29.0	20.02498	29.0	14.56022	29.0	26.68333	14.14214	27.45906	7.0	26.07681	27.0	29.0	29.0	34.66987	29.0	13.41641	27.07397	29.0	29.0	12.04159	29.0	12.04159	29.0	15.13275	29.0	29.0	29.0	34.66987	20.80865	26.01922	14.03567	16.55295	29.0	29.0	17.72005	34.66987	29.0	29.0	29.0	34.66987	29.0
"Tundra Swan"	3780.00013	3785.08256	3788.0528	3408.01188	341.98977	3725.0302	3764.00013	0.0	3760.00013	1519.13166	3672.07203	1425.62267	84.64632	3788.01597	2242.01806	3785.01321	3768.00053	3767.07021	1709.3136	3590.00014	3668.00491	3762.59658	2782.85555	3791.12675	3785.00053	3786.00053	3791.02968	3780.07619	2635.00019	1475.00136	3791.01899	3342.95737	3663.01106	398.22104	3753.11204	3546.08122	2992.77263	3753.874	3557.87718	3778.34421	3788.20076	3791.53847	3311.01223	3791.00646	3762.05316	3789.84446	3780.30475	3780.01071	3790.01069	3791.09615	3791.12675	3791.2006	3784.00119	3791.01899	3775.00013	3781.03385	3757.0012	3784.31724	3791.59201	3789.15254	3730.00858	3785.52427	3791.29134	3631.00124	3762.49452	3790.59217	3790.29141	3786.10354	3791.19045	256.34547	2937.00017	3789.27922	3785.04769	3781.18103	3790.1806	3791.00119	3791.00013	477.03773	881.61783	3791.00475	3786.00013	3786.00013	3788.00013	3791.00053	2942.3754	2428.41697	2050.39021	3649.10743	3773.24502	3692.29915	3790.49087	3781.00013	3771.91331	3784.16186	3788.00475	3769.00013	3789.82348	3766.35898	3430.00233	3784.03383	3276.00015	3633.00014	3754.00653	3775.11139	3782.00648	3761.2022	3787.00211	3790.11873	3790.00211	3778.08946	3791.06977	3117.11694	449.29834	3619.84047	3572.0035	3753.85255	3789.00013	1947.00026	3791.50696	3692.88844	3728.0	3569.0947	3103.00016	3691.01951	3781.00013	3786.02232	3791.06977	3789.00013	3782.00013	3791.50696	3690.55497	3789.02969	3762.0299	3789.8657	3791.01319	3785.03382	3791.06977	2965.04873	3791.03376	3789.00053	3788.1906	3791.23265	3791.00475	138.65425	3788.03815	3774.37849	3069.03193	2985.75183	3791.08243	3592.46823	3791.00211	3791.07597	3791.0	3790.1806	3791.84401	3791.0033	3790.01319	3789.07601	1177.49098	3790.00844	3789.07601	3791.50696	3782.02591	1505.00033	3790.66498	1610.13695	3781.47603	3784.00053	3791.04761	3668.07852	3790.11095	3789.03814	3648.15844	3790.10343	3763.26906	3790.00013	3790.04763	3790.23271	3692.91051	2784.00018	3791.54019	215.45533	3770.5432	3770.52636	3747.56374	3462.40567	3790.05277	3442.33467	3577.5725	3192.01269	3791.23265	3766.89262	3729.25958	2327.00021	3571.55568	3688.31235	3611.56711	3122.5022	3787.57508	3761.80874	3092.0131	2480.07278	3700.88652	3608.49886	3788.84468	164.46884	3610.60327
"Wood Duck"	20.09975	28.16026	31.14482	7.07107	37.12142	15.26434	7.0	20.59126	0.0	21.18962	5.0	22.02272	37.12142	29.73214	21.18962	26.57066	8.544	23.08679	13.92839	9.84886	7.07107	23.08679	12.20656	33.0	25.17936	26.1725	33.0	21.0	14.76482	21.18962	32.89377	33.0	10.0	13.34166	16.12452	6.08276	23.08679	33.0	18.60108	33.0	31.01612	33.0	21.18962	31.57531	11.31371	33.0	24.35159	21.54066	31.01612	33.0	33.0	33.0	24.08319	32.89377	15.13275	25.4951	16.0	31.14482	33.0	33.0	11.40175	30.14963	33.0	33.13608	17.46425	33.0	33.0	30.8707	33.0	19.64688	22.47221	33.0	30.80584	29.73214	33.0	31.06445	31.0	20.02498	24.16609	31.40064	26.0	26.0	28.0	31.01612	7.28011	37.12142	37.12142	12.04159	33.0	14.31782	33.0	21.09502	32.28002	27.07397	28.44293	9.0	33.0	29.42788	31.38471	26.4764	37.12142	33.61547	9.48683	27.20294	22.80351	24.69818	27.16616	31.01612	30.14963	23.02173	33.0	37.12142	37.12142	33.0	7.07107	33.0	29.0	37.12142	33.0	33.0	15.29706	8.94427	37.12142	21.18962	21.0	28.63564	33.0	29.0	22.0	33.0	8.544	31.01612	14.14214	33.0	32.28002	27.65863	33.0	30.36445	33.0	29.15476	30.06659	33.0	31.40064	37.12142	32.24903	33.0	31.38471	7.07107	33.0	7.0	31.14482	33.0	31.01612	33.0	33.0	31.257	31.14482	33.0	37.12142	30.80584	31.0	33.0	25.01999	37.12142	33.0	33.0	33.0	24.18677	33.0	14.56022	33.0	30.26549	14.14214	31.14482	8.0	30.0	31.01612	33.0	33.0	37.12142	33.0	14.14214	31.0	33.0	33.0	16.03122	33.0	12.04159	33.0	19.0	33.0	33.0	33.0	34.17601	23.02173	28.63564	12.36932	17.02939	33.0	33.0	15.0333	37.12142	33.0	33.0	33.0	37.12142	33.0
"Gadwall"	2261.09752	2266.00552	2269.0	1889.03203	356.1699	2206.00567	2245.09822	774.14534	2241.08054	0.0	2153.00209	296.43549	95.27329	2269.01785	723.08367	2266.02207	2249.1076	2248.002	397.33361	2071.10647	2149.0456	2243.49237	1263.95016	2272.02663	2266.10679	2267.10675	2272.0	2261.00354	1116.19756	44.72136	2272.01408	1823.98712	2144.02822	200.90047	2234.01813	2027.00395	1473.78187	2234.83266	2038.85384	2259.21269	2269.07955	2272.70434	1792.03376	2272.00088	2243.0	2270.79281	2261.17337	2261.02676	2271.02664	2272.01078	2272.02663	2272.07944	2265.0638	2272.01408	2256.09774	2262.00022	2238.0181	2265.18564	2272.48608	2270.04317	2211.03256	2266.40795	2272.16043	2112.06842	2243.37469	2271.4863	2271.1605	2267.01412	2272.0713	137.03284	1418.15549	2270.14889	2266.00022	2262.06388	2271.06363	2272.0636	2272.07944	204.18864	67.35726	2272.00022	2267.07962	2267.07962	2269.07955	2272.04313	1423.25613	909.34372	531.37651	2130.01502	2254.11734	2173.16773	2271.37007	2262.09748	2252.88104	2265.04967	2269.04319	2250.08022	2270.76661	2247.22785	1911.06698	2265.00353	1757.10273	2114.08538	2235.03781	2256.01795	2263.03734	2242.08051	2268.05644	2271.02202	2271.05636	2259.00797	2272.00198	1598.01533	77.38863	2100.8008	2053.0548	2234.80558	2270.07951	428.42152	2272.38817	2173.85602	2209.09054	2050.00878	1584.11395	2172.01473	2262.0798	2267.00199	2272.00198	2270.07951	2263.07976	2272.38817	2171.44583	2270.00551	2243.00557	2270.81946	2272.00198	2266.00353	2272.00198	1446.00311	2272.00352	2270.10661	2269.0714	2272.10651	2272.01078	145.71548	2269.00198	2255.49108	1550.01161	1466.75322	2272.0055	2073.34826	2272.05634	2272.00352	2272.08803	2271.06363	2272.79212	2272.04952	2271.02202	2270.00352	82.05486	2271.0317	2270.00352	2272.38817	2263.00795	499.84198	2271.57258	91.00549	2262.35364	2265.03179	2272.00022	2149.00372	2271.01783	2270.00198	2129.04603	2271.01409	2244.13926	2271.07948	2271.00022	2271.10656	2173.88431	1265.14268	2272.42602	239.01464	2251.42999	2251.41067	2228.4544	1943.28022	2271.0	1923.20384	2058.47031	1673.03616	2272.10651	2247.8552	2210.13031	808.22336	2052.45049	2169.18072	2092.46266	1603.40419	2268.46644	2242.7501	1573.03846	961.00052	2181.85288	2089.38292	2269.79316	155.43809	2091.50592
