"bird_name"	"Greater White-fronted Goose"	"Snow Goose"	"Ross's Goose"	"Cackling Goose"	"Canada Goose"	"Mute Swan"	"Trumpeter Swan"	"Tundra Swan"	"Wood Duck"	"Gadwall"	"American Wigeon"	"American Black Duck"	"Mallard"	"Blue-winged Teal"	"Northern Shoveler"	"Northern Pintail"	"Green-winged Teal"	"Green-winged Teal (American)"	"Canvasback"	"Redhead"	"Ring-necked Duck"	"Greater Scaup"	"Lesser Scaup"	"Harlequin Duck"	"Surf Scoter"	"White-winged Scoter"	"Black Scoter"	"Long-tailed Duck"	"Bufflehead"	"Common Goldeneye"	"Barrow's Goldeneye"	"Common/Barrow's Goldeneye"	"Hooded Merganser"	"Common Merganser"	"Red-breasted Merganser"	"Ruddy Duck"	"duck sp."	"Northern Bobwhite"	"Ring-necked Pheasant"	"Gray Partridge"	"Ruffed Grouse"	"Greater/Lesser Prairie-Chicken"	"Wild Turkey"	"Red-throated Loon"	"Common Loon"	"loon sp."	"Pied-billed Grebe"	"Horned Grebe"	"Red-necked Grebe"	"Western Grebe"	"Double-crested Cormorant"	"American Bittern"	"Great Blue Heron (Blue form)"	"Black-crowned Night-Heron"	"Northern Harrier"	"Sharp-shinned Hawk"	"Cooper's Hawk"	"Northern Goshawk"	"Northern Goshawk (American)"	"Accipiter sp."	"Bald Eagle"	"Red-shouldered Hawk"	"Broad-winged Hawk"	"Red-tailed Hawk"	"Rough-legged Hawk"	"Buteo sp."	"King Rail"	"Virginia Rail"	"Sora"	"American Coot"	"Sandhill Crane"	"Killdeer"	"Wilson's Snipe"	"Wilson's/Common Snipe"	"American Woodcock"	"Black-legged Kittiwake"	"Bonaparte's Gull"	"Ring-billed Gull"	"Herring Gull"	"Thayer's Gull"	"Iceland Gull"	"Lesser Black-backed Gull"	"Glaucous Gull"	"Great Black-backed Gull"	"gull sp."	"Rock Pigeon (Feral Pigeon)"	"Mourning Dove"	"Eastern Screech-Owl"	"screech-owl sp."	"Great Horned Owl"	"Snowy Owl"	"Barred Owl"	"Long-eared Owl"	"Short-eared Owl"	"Northern Saw-whet Owl"	"Belted Kingfisher"	"kingfisher sp."	"Red-headed Woodpecker"	"Red-bellied Woodpecker"	"Yellow-bellied Sapsucker"	"Downy Woodpecker"	"Hairy Woodpecker"	"Northern Flicker"	"Northern Flicker (Yellow-shafted)"	"Pileated Woodpecker"	"American Kestrel"	"Merlin"	"Peregrine Falcon"	"Eastern Phoebe"	"Northern Shrike"	"White-eyed Vireo"	"Blue Jay"	"American Crow"	"crow sp."	"Horned Lark"	"Horned Lark (Eastern dark Group)"	"Barn Swallow"	"Black-capped Chickadee"	"Boreal Chickadee"	"chickadee sp."	"Tufted Titmouse"	"Red-breasted Nuthatch"	"White-breasted Nuthatch"	"Brown Creeper"	"Winter Wren"	"Pacific/Winter Wren"	"Sedge Wren"	"Marsh Wren"	"Carolina Wren"	"Bewick's Wren"	"Golden-crowned Kinglet"	"Ruby-crowned Kinglet"	"Eastern Bluebird"	"bluebird sp."	"Townsend's Solitaire"	"Hermit Thrush"	"Wood Thrush"	"American Robin"	"Varied Thrush"	"Gray Catbird"	"Brown Thrasher"	"Sage Thrasher"	"Northern Mockingbird"	"European Starling"	"American Pipit"	"Bohemian Waxwing"	"Cedar Waxwing"	"Lapland Longspur"	"longspur sp."	"Snow Bunting"	"Ovenbird"	"Northern Waterthrush"	"Orange-crowned Warbler"	"Common Yellowthroat"	"yellowthroat sp."	"Pine Warbler"	"Yellow-rumped Warbler"	"Yellow-rumped Warbler (Myrtle)"	"American Tree Sparrow"	"Chipping Sparrow"	"Field Sparrow"	"Black-throated Sparrow"	"Fox Sparrow"	"Dark-eyed Junco"	"Dark-eyed Junco (Slate-colored/Cassiar)"	"Dark-eyed Junco (Slate-colored)"	"Dark-eyed Junco (Oregon)"	"White-crowned Sparrow"	"Harris's Sparrow"	"White-throated Sparrow"	"Vesper Sparrow"	"Savannah Sparrow"	"Song Sparrow"	"Lincoln's Sparrow"	"Swamp Sparrow"	"Spotted Towhee"	"Eastern Towhee"	"Spotted/Eastern Towhee (Rufous-sided Towhee)"	"sparrow sp."	"Northern Cardinal"	"Rose-breasted Grosbeak"	"Red-winged Blackbird"	"Western Meadowlark"	"Eastern Meadowlark"	"Western/Eastern Meadowlark"	"Rusty Blackbird"	"Brewer's Blackbird"	"Common Grackle"	"Common Grackle (Purple)"	"Brown-headed Cowbird"	"Baltimore Oriole"	"blackbird sp."	"Pine Grosbeak"	"House Finch"	"Purple Finch"	"Red Crossbill"	"White-winged Crossbill"	"Common Redpoll"	"Hoary Redpoll"	"redpoll sp."	"Pine Siskin"	"American Goldfinch"	"Spinus sp. (goldfinch sp.)"	"Evening Grosbeak"	"finch sp."	"House Sparrow"	"bird sp."
"Greater White-fronted Goose"	0.0	1.0105	1.0141	1.2598	17.78246	1.3018	1.0114	4.43462	1.0444	3.08928	1.4669	4.0	13.39438	1.029	3.00686	1.0615	1.0645	1.029	1.74529	1.3176	1.44141	1.0213	1.9385	1.029	1.004	1.0075	1.029	1.0215	3.4646	6.11908	1.029	1.029	1.55591	3.40226	1.41421	1.41719	1.0141	1.2609	2.23607	1.029	1.029	1.029	2.32071	1.029	1.0428	1.029	1.0421	1.00017	1.0141	1.029	1.029	1.029	1.0287	1.029	1.1429	1.0608	1.1256	1.0263	1.029	1.029	1.271	1.0737	1.029	1.5776	1.0947	1.029	1.029	1.0206	1.029	3.4096	2.8556	1.029	1.0221	1.2857	1.029	1.029	1.029	3.91076	4.14048	1.029	1.015	1.0141	1.01	1.0141	1.1549	5.61526	5.09055	1.6231	1.1027	1.4353	1.029	1.1429	1.3061	1.0364	1.0169	1.0816	1.029	1.1111	1.97145	1.0442	2.5317	1.5058	1.1381	1.0623	1.0251	1.1558	1.0082	1.0091	1.004	1.067	1.029	3.0	8.09229	2.23607	1.44335	1.029	1.029	5.62628	1.029	2.23607	1.51374	1.45493	2.67838	1.6086	1.0323	1.029	1.029	1.029	1.0278	1.029	1.7846	1.0141	1.1351	1.029	1.029	1.0387	1.029	2.1892	1.029	1.00022	1.0385	1.029	1.029	11.58534	1.029	1.029	2.09752	1.42173	1.029	1.55683	1.029	1.029	1.0141	1.029	1.029	1.029	1.029	1.029	6.0	1.029	1.0038	1.029	1.0516	5.61017	1.029	5.8837	1.0854	1.021	1.029	1.52224	1.029	1.029	1.5286	1.029	1.2317	1.029	1.0083	1.029	2.0	4.37162	1.029	3.67691	1.029	1.029	1.086	1.63	1.029	1.8776	1.56397	1.86826	1.029	1.029	1.029	4.53491	2.23607	1.0909	1.029	1.41421	1.029	1.029	2.27999	4.59616	1.67826	1.42137	1.029	11.53476	1.029
"Snow Goose"	1.0295	0.0	1.0295	1.2376	17.17784	1.3018	1.0253	4.3204	1.0444	3.08928	1.2429	4.0	13.39438	1.0295	3.00686	1.0615	1.0645	1.0253	1.74529	1.2951	1.44141	1.0253	1.9385	1.0295	1.0295	1.0295	1.0295	1.0253	2.4541	5.52469	1.0295	1.0295	1.55591	3.16673	1.41421	1.41719	1.0295	1.2609	2.23607	1.0295	1.0295	1.0295	2.32071	1.0295	1.0338	1.0295	1.0202	1.00032	1.0295	1.0295	1.0295	1.0295	1.0181	1.0295	1.1429	1.0608	1.1523	1.0263	1.0295	1.0295	1.271	1.0737	1.0295	1.6616	1.0947	1.0295	1.0295	1.0253	1.0295	3.4096	2.0599	1.0295	1.0295	1.2857	1.0295	1.0295	1.0295	3.35334	4.14048	1.0295	1.0295	1.0132	1.0295	1.0295	1.41421	5.61526	4.87778	1.61621	1.1027	1.3407	1.0295	1.1429	1.3061	1.0364	1.0295	1.0816	1.0295	1.1111	1.9135	1.0442	2.5317	1.5	1.1381	1.0614	1.0295	1.1558	1.0087	1.0295	1.0295	1.067	1.0295	3.0	8.09229	2.23607	1.44335	1.0295	1.0295	5.77001	1.0295	2.23607	1.51374	1.45493	2.67838	1.6086	1.0295	1.0268	1.0295	1.0253	1.0278	1.0295	1.7846	1.0295	1.1351	1.0295	1.0295	1.0387	1.0295	2.1892	1.0295	1.0295	1.0385	1.0295	1.0253	11.58534	1.0295	1.0295	2.09752	1.42173	1.0253	1.55683	1.0295	1.0253	1.0295	1.0295	1.0295	1.0295	1.0295	1.0253	6.0	1.0295	1.0152	1.0295	1.0516	5.61017	1.0295	5.8837	1.0854	1.0171	1.0295	1.52224	1.0295	1.0295	1.5286	1.0295	1.2317	1.0295	1.0152	1.0295	2.0	4.37162	1.0295	3.67691	1.0295	1.0295	1.086	1.63	1.0295	1.8776	1.56397	1.86826	1.0295	1.0295	1.0295	4.53491	2.23607	1.0909	1.0152	1.41421	1.0295	1.0295	2.27999	4.59616	1.67826	1.42137	1.0295	11.53476	1.0295
"Ross's Goose"	1.0169	1.0055	0.0	1.2622	17.18242	1.1237	1.0676	4.72206	1.0444	3.08928	1.4669	4.0	13.39438	1.0169	3.00686	1.0615	1.0645	1.0169	1.74529	1.4878	1.44141	1.0213	1.9385	1.0169	1.0169	1.0169	1.0026	1.0215	2.90203	5.86882	1.0169	1.0169	1.55591	3.40226	1.41421	1.41719	1.0169	1.2609	2.23607	1.0169	1.0198	1.0169	2.32071	1.0169	1.0428	1.0169	1.0202	1.0055	1.0169	1.0169	1.0169	1.0169	1.0287	1.0169	1.1429	1.0498	1.1523	1.0263	1.0169	1.0169	1.271	1.0737	1.0169	1.6616	1.0947	1.0169	1.0169	1.0206	1.0169	3.4096	2.53424	1.0055	1.0103	1.2857	1.0169	1.0169	1.0169	3.35688	4.14048	1.0038	1.0169	1.0114	1.01	1.0169	1.0169	5.61526	5.09055	1.6231	1.1027	1.4353	1.0169	1.1429	1.3061	1.0364	1.0169	1.0816	1.0169	1.1111	2.02799	1.0306	2.5317	1.5528	1.1449	1.0623	1.0251	1.1558	1.0176	1.0091	1.0169	1.067	1.0169	3.0	8.09229	2.23607	1.44335	1.0169	1.0169	5.88685	1.0169	2.23607	1.51374	1.45493	2.67838	1.6086	1.0323	1.0268	1.0169	1.0169	1.0278	1.0169	1.7846	1.0	1.0653	1.0169	1.0169	1.0181	1.0169	2.17386	1.0169	1.0055	1.0385	1.0169	1.0169	11.58534	1.0169	1.0169	2.09752	1.42173	1.0169	1.55683	1.0169	1.0169	1.0169	1.0169	1.0169	1.0169	1.0169	1.0169	6.0	1.0055	1.0055	1.0169	1.0516	5.7732	1.0169	5.8837	1.0854	1.0282	1.0055	1.52224	1.0169	1.0169	1.5286	1.0169	1.2317	1.0055	1.0083	1.0169	2.0	4.37162	1.0169	3.67691	1.0169	1.0169	1.086	1.63	1.0055	1.8776	1.56397	1.86826	1.0055	1.0169	1.0169	4.53491	2.23607	1.0909	1.0127	1.41421	1.0169	1.0169	2.27999	4.59616	1.67826	1.42137	1.0169	11.53476	1.0169
"Cackling Goose"	1.92784	1.92092	2.6522	0.0	17.03459	1.92092	1.6307	4.08331	2.58035	3.08928	1.6393	4.0	13.39438	2.58313	2.8357	1.6802	1.5877	2.6522	1.74529	1.6178	1.5877	1.6802	1.9385	2.6522	2.6522	1.635	2.6522	1.6802	2.22596	4.90228	2.6522	2.6522	1.55591	3.16673	1.6393	1.4457	2.6522	2.6522	2.23607	2.6522	2.6522	2.6522	1.89477	2.59176	1.5489	2.6522	1.6135	1.6006	1.6802	2.6522	2.6522	2.6522	1.6436	2.6522	1.6802	1.6307	1.5791	2.59138	2.6522	2.6522	1.6178	2.59138	2.6522	1.552	1.92006	2.6522	2.6522	2.59176	2.6522	3.4096	1.9391	2.6522	1.6436	2.6522	2.6522	2.6522	2.6522	3.24962	3.51004	1.6522	1.92784	2.59418	1.93126	2.6522	2.6522	5.61526	5.09055	1.6231	2.6522	1.5791	1.93126	1.635	1.92784	1.6522	1.92784	1.6049	2.6522	2.59176	1.7643	1.6479	2.331	1.49231	1.6178	2.6522	1.6522	1.6393	1.92784	2.6522	2.6522	1.6436	2.6522	3.0	8.09229	2.6522	1.6479	2.6522	2.6522	5.57873	2.6522	2.6522	1.51374	1.5618	2.4847	1.6086	1.6802	2.6522	2.6522	2.6522	1.6479	2.6522	1.7846	2.6522	1.6049	2.6522	1.92784	1.6393	2.6522	2.0	2.6522	1.92784	1.9275	2.6522	2.6522	11.58534	2.6522	2.6522	2.09752	1.81669	2.6522	1.86438	2.6522	2.6522	2.6522	2.6522	2.6522	2.6522	1.92433	2.6522	6.0	1.92382	2.59138	2.6522	1.6393	5.47293	2.6522	5.8837	2.6522	1.9014	2.6522	1.52224	2.6522	2.6522	1.5286	2.6522	1.5834	2.6522	1.93126	2.6522	2.6522	3.8093	2.6522	3.67691	2.6522	2.6522	2.6522	1.6802	2.6522	1.8776	2.6522	1.86826	2.6522	2.6522	2.6522	4.41212	2.23607	1.6802	1.6802	1.92784	2.6522	2.6522	2.27999	4.0	2.6522	2.6522	2.6522	11.53476	2.6522
"Canada Goose"	88.2071	88.21967	88.4224	86.71327	0.0	88.2684	88.13467	75.6992	88.19204	80.25175	88.20177	82.3301	52.45963	88.48113	81.70533	88.2071	88.1789	89.2212	86.40078	87.87576	87.7196	88.19457	86.9708	89.2212	88.21807	88.2212	88.24387	88.21607	85.1069	81.60771	88.5792	89.2212	87.80867	75.90265	88.20927	88.15657	88.22377	89.2212	88.2036	89.2212	88.24097	89.2212	86.29667	88.2684	88.1965	89.2212	88.2071	88.22247	88.30904	89.2212	88.90433	89.2212	88.19817	88.5792	88.2001	88.2001	88.10128	88.23967	89.2212	88.78098	87.99848	88.2142	89.2212	87.6493	88.16097	89.2212	89.2212	88.2684	89.2212	41.60762	86.20565	89.2212	88.22247	89.2212	89.2212	88.22327	88.26969	65.77539	78.69575	88.23967	88.2177	88.24387	88.2212	88.23967	87.9168	84.72681	84.28169	88.17307	89.2212	88.10848	88.2212	88.19457	88.42101	88.20897	88.2177	88.15157	89.2212	88.2142	86.9461	88.2071	86.74049	87.6999	88.12738	89.2212	88.20177	88.20927	88.2036	88.2212	88.2142	88.2036	88.24387	86.4812	72.50435	89.2212	87.26053	89.2212	88.2647	82.19873	89.2212	89.2212	87.97754	88.02238	86.50192	87.95069	88.19457	88.5792	89.2212	88.2647	88.2106	89.2212	88.1296	88.23967	88.18737	89.2212	88.2212	88.2177	89.2212	85.5067	89.02814	88.2177	88.21967	89.2212	88.23967	59.3312	88.22687	89.2212	85.0831	87.49943	89.2212	88.02918	88.2177	89.2212	88.30904	89.2212	89.2212	88.22247	88.2177	89.2212	74.48151	88.22327	88.22327	89.2212	88.20927	81.08102	89.2212	80.17103	89.02814	88.193	89.2212	87.99368	89.2212	88.21807	88.07618	88.2177	88.16227	88.2672	88.2177	89.2212	89.2212	85.01902	89.2212	66.51128	88.26969	89.2212	88.22687	88.14373	89.2212	88.0592	89.2212	85.78554	89.2212	89.2212	89.2212	82.39255	88.2212	88.2177	88.2142	87.82528	89.2212	89.2212	85.35597	83.38691	89.2212	89.2212	89.2212	54.98372	89.2212
"Mute Swan"	1.3018	1.3018	1.067	1.2598	17.78246	0.0	1.0763	4.72206	1.0444	3.08928	1.1711	4.0	13.39438	1.0897	3.00686	1.3018	1.0897	1.3018	1.74529	1.4878	1.44141	1.3018	1.9385	1.3018	1.3018	1.0897	1.067	1.3018	3.4646	6.11908	1.3018	1.3018	1.46447	3.40226	1.41421	1.2449	1.3018	1.3018	2.23607	1.3018	1.3018	1.3018	2.32071	1.3018	1.0338	1.3018	1.0202	1.1547	1.3018	1.3018	1.0897	1.3018	1.0287	1.3018	1.3018	1.0296	1.1256	1.1547	1.3018	1.1547	1.271	1.3018	1.3018	1.5776	1.0947	1.3018	1.3018	1.0763	1.3018	2.94059	2.8556	1.3018	1.0407	1.3018	1.3018	1.3018	1.3018	3.91076	4.14048	1.1237	1.3018	1.032	1.1547	1.3018	1.3018	5.61526	5.09055	1.4649	1.3018	1.4353	1.0897	1.1429	1.3061	1.1237	1.0897	1.0816	1.3018	1.3018	2.02799	1.0306	2.4971	1.5213	1.081	1.3018	1.0763	1.133	1.3018	1.3018	1.3018	1.0622	1.3018	3.0	7.31565	2.23607	1.44335	1.3018	1.3018	5.62628	1.3018	2.23607	1.51374	1.45493	2.67838	1.6086	1.3018	1.026	1.3018	1.3018	1.0251	1.3018	1.7846	1.0291	1.0473	1.3018	1.3018	1.0167	1.3018	2.17386	1.1237	1.3018	1.3018	1.3018	1.3018	10.71585	1.3018	1.3018	1.9973	1.42173	1.3018	1.55683	1.3018	1.3018	1.3018	1.3018	1.3018	1.3018	1.0763	1.3018	6.0	1.3018	1.3018	1.3018	1.0199	5.61017	1.3018	5.8837	1.1237	1.0282	1.3018	1.52224	1.3018	1.3018	1.5286	1.0897	1.2317	1.3018	1.3018	1.3018	2.0	3.63957	1.3018	3.67691	1.3018	1.3018	1.3018	1.63	1.3018	1.8776	1.56397	1.86826	1.3018	1.3018	1.3018	3.7222	2.23607	1.3018	1.3018	1.41421	1.3018	1.3018	2.27999	3.95842	1.67826	1.42137	1.3018	11.53476	1.3018
"Trumpeter Swan"	1.045	1.045	1.0922	1.2622	17.17935	1.1547	0.0	4.43462	1.0444	3.08928	1.4669	4.0	13.39438	1.0922	2.8357	1.0615	1.0254	1.0922	1.74529	1.0761	1.44141	1.045	1.9385	1.0922	1.045	1.0108	1.0676	1.045	2.4567	5.14914	1.0922	1.0922	1.55591	3.40226	1.41421	1.2449	1.0922	1.2609	2.23607	1.0922	1.0922	1.0922	2.32071	1.0922	1.0428	1.0922	1.0421	1.0198	1.0922	1.0922	1.0922	1.0922	1.0287	1.0922	1.1429	1.0608	1.1523	1.0263	1.0922	1.0922	1.271	1.0737	1.0922	1.6616	1.0947	1.0922	1.0922	1.0922	1.0922	3.4096	1.9971	1.0922	1.0221	1.2857	1.0922	1.0922	1.0922	3.3545	3.519	1.0676	1.045	1.0215	1.0198	1.045	1.0922	5.61526	5.09055	1.6231	1.1027	1.4353	1.0676	1.1429	1.3061	1.0676	1.0169	1.0816	1.0922	1.1111	1.97145	1.0442	2.4971	1.5058	1.1381	1.0922	1.0251	1.1558	1.045	1.045	1.045	1.067	1.0676	3.0	8.09229	2.23607	1.44335	1.0922	1.0922	5.88685	1.0922	2.23607	1.51374	1.45493	2.67838	1.6086	1.045	1.0922	1.0922	1.0922	1.0276	1.0922	1.7846	1.0215	1.0653	1.0922	1.0676	1.0387	1.0922	2.17386	1.0922	1.045	1.0676	1.0922	1.0676	11.58534	1.0676	1.0922	2.09752	1.42173	1.0922	1.55683	1.0676	1.0922	1.0922	1.0922	1.0922	1.0676	1.0676	1.0922	6.0	1.0922	1.0922	1.0922	1.0516	5.61017	1.0922	5.8837	1.0922	1.0169	1.0922	1.52224	1.0922	1.0676	1.5286	1.0676	1.2317	1.0922	1.045	1.0922	2.0	3.8093	1.0922	3.67691	1.0922	1.0922	1.086	1.63	1.0922	1.8776	1.56397	1.86826	1.0922	1.0922	1.0922	4.41212	2.23607	1.0909	1.0676	1.41421	1.0922	1.0922	2.27999	4.1382	1.67826	1.42137	1.0922	11.53476	1.0922
"Tundra Swan"	12.5079	12.522	13.522	11.96464	16.25422	12.87266	12.46996	0.0	12.5079	10.87419	12.53685	11.84307	13.20642	13.522	7.6979	12.5079	12.4797	13.522	11.4195	12.32105	12.16316	12.52967	11.2716	13.522	12.55309	12.522	12.68071	12.5185	10.4471	6.21462	13.522	13.522	12.4022	3.15022	12.54432	12.49179	12.66087	13.522	12.5044	13.522	12.67785	13.522	11.17872	12.87266	12.4973	13.522	12.5079	12.55748	13.14269	13.522	13.522	13.522	12.515	13.522	12.5009	12.5009	12.4128	12.67657	13.522	13.522	12.3342	12.515	13.522	11.98619	12.49618	13.522	13.522	12.87266	13.522	6.72922	11.15541	13.522	12.55748	13.522	13.522	12.55828	12.87392	4.73411	3.25301	12.67657	12.5185	12.68071	12.522	12.67657	12.38653	10.05946	8.70086	12.4868	13.522	12.4339	12.522	12.5079	13.522	12.54402	12.5185	12.4727	13.522	12.515	11.2469	12.5079	11.0708	12.0007	12.441	13.522	12.5185	12.5114	12.5044	12.522	12.515	12.5044	12.68071	10.782	9.23516	13.522	11.59879	13.522	12.86906	7.168	13.522	13.522	12.3142	12.3388	10.8383	12.28656	12.5114	13.522	13.522	12.86906	12.5114	13.522	12.4304	12.67657	12.4973	13.522	12.522	12.5185	13.522	11.11738	13.522	12.5185	12.55469	13.522	12.67657	11.37273	12.56187	13.522	10.21218	12.38304	13.522	12.3648	12.5185	13.522	13.14269	13.522	13.522	12.55748	12.5185	13.522	9.69213	12.55828	12.55828	13.522	12.5114	7.00188	13.522	13.522	13.522	12.4938	13.522	12.32942	13.522	12.55309	12.41165	12.5185	12.4797	12.87149	12.5185	13.522	13.522	9.8873	13.522	11.71121	12.87392	13.522	12.56187	12.522	13.522	12.36	13.522	11.12715	13.522	13.522	13.522	8.47303	12.522	12.5185	12.515	12.26743	13.522	13.522	10.5565	9.16502	13.522	13.522	13.522	11.04536	13.522
"Wood Duck"	1.0802	1.0408	1.0802	1.2622	17.17483	1.3018	1.0444	4.43462	0.0	2.17102	1.1096	4.0	12.67577	1.0802	3.00686	1.0615	1.0645	1.0802	1.74529	1.2951	1.44141	1.0444	1.9385	1.0802	1.0802	1.0319	1.0802	1.0408	2.4489	5.14149	1.0802	1.0802	1.46447	3.40226	1.41421	1.2065	1.0444	1.2609	2.23607	1.0802	1.0408	1.0802	2.32071	1.0802	1.0408	1.0802	1.0421	1.0408	1.0444	1.0802	1.0802	1.0802	1.0444	1.0802	1.1429	1.0498	1.1256	1.0802	1.0802	1.0802	1.271	1.0802	1.0802	1.6293	1.0923	1.0802	1.0802	1.0802	1.0802	3.0	2.0575	1.0802	1.0444	1.2857	1.0802	1.0802	1.0444	3.35102	4.14048	1.0802	1.0444	1.0444	1.0444	1.0444	1.43272	5.06137	4.25585	1.3213	1.1027	1.3407	1.0802	1.1429	1.1646	1.0802	1.0444	1.0753	1.0802	1.1111	1.97145	1.0254	2.4971	1.5058	1.125	1.0802	1.0444	1.0759	1.0444	1.0444	1.0444	1.035	1.0802	3.0	7.32661	2.23607	1.44335	1.0802	1.0444	5.88685	1.0802	2.23607	1.3205	1.42137	2.67838	1.6086	1.0444	1.0802	1.0802	1.0444	1.0408	1.0802	1.7846	1.0408	1.1351	1.0802	1.0802	1.0181	1.0802	2.1892	1.0802	1.0444	1.0802	1.0802	1.0802	10.73857	1.0802	1.0802	2.03121	1.4245	1.0802	1.4245	1.0802	1.0802	1.0444	1.0802	1.0802	1.0802	1.0802	1.0802	6.0	1.0802	1.0444	1.0802	1.0408	5.61017	1.0802	5.46967	1.0854	1.0444	1.0802	1.327	1.0802	1.0444	1.4299	1.0802	1.2317	1.0444	1.0444	1.0802	2.0	4.01386	1.0802	3.67691	1.0444	1.0802	1.0802	1.45813	1.0802	1.4603	1.56397	1.45799	1.0802	1.0802	1.0802	4.40959	2.23607	1.0909	1.0444	1.41421	1.0802	1.0802	1.74915	4.59616	1.67826	1.42137	1.0802	10.88314	1.0802
"Gadwall"	10.5806	9.5553	9.5637	9.80426	16.92027	9.5216	10.03502	6.1167	9.62867	0.0	9.471	9.20071	12.02377	10.0356	8.2065	9.5764	9.5216	9.7792	9.5469	9.5511	9.59674	10.37444	9.50485	10.5806	10.5806	10.5806	9.5764	9.78321	8.0464	8.08449	10.5806	10.5806	9.138	5.74074	9.56074	9.44639	10.5806	10.5806	9.5764	10.5806	10.5806	10.5806	9.31037	9.78321	9.4542	10.5806	9.5385	9.5764	10.5806	10.5806	10.5806	10.5806	9.568	10.5806	9.5764	9.5764	9.4921	10.0356	10.5806	10.5806	9.56064	10.03502	10.5806	9.08381	9.5722	10.5806	10.5806	9.78321	10.5806	3.0	9.1717	9.5764	9.6047	9.5764	10.5806	10.5806	10.5806	3.13533	3.36631	9.62817	10.5806	9.5806	9.62817	10.5806	10.5806	6.32288	5.8377	9.31314	10.5806	9.5174	10.03932	9.6237	9.78321	9.78321	10.0356	9.5427	10.5806	9.62817	8.98582	9.62469	8.3356	9.2055	9.61663	9.5385	9.78321	9.5469	9.5806	9.5764	10.5806	9.5637	10.0356	8.33759	6.2129	10.5806	9.27268	10.5806	10.5806	4.76869	10.5806	10.5806	9.5427	9.32002	8.19206	9.43296	10.5806	9.62469	10.0356	10.37822	9.5722	10.5806	9.48089	9.5764	9.5427	10.5806	10.03502	9.5764	10.0356	6.59405	10.37702	9.6237	10.5806	10.5806	10.38209	9.85144	10.02224	10.5806	6.5964	7.26069	10.5806	9.4584	10.5806	10.37822	10.5806	10.5806	10.5806	10.5806	10.37702	10.03932	6.0	9.62867	9.62867	10.5806	9.5595	4.53795	10.5806	5.34734	10.37702	9.63265	9.62867	9.30519	10.5806	10.02644	9.20518	10.5806	9.5005	9.5764	9.62469	10.5806	10.5806	6.86671	10.5806	7.6164	10.5806	10.5806	9.62817	9.60569	9.5722	9.568	10.5806	9.19176	9.5806	10.5806	10.5806	4.92508	9.62469	9.5469	9.5722	9.5216	10.5806	10.5806	9.37402	4.42595	10.5806	10.5806	10.5806	10.02394	10.5806
